INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
index	class	quality	type	Medindex	资源	name	说明文字	等级	基本价格	适应规则	叠放数量	脚本编号	技能编号	是否消耗	需求技能	需求技能等级	最大持有数量	选择对象类型	类型描述
20005020	2	0	5	20	Food_1	未知物品	未知物品	1	10	4	20	-1	-1	1	8	1	-1	-1	未知物品
20101001	2	1	1	1	Herbal1_2	白英	茄科植物白英的全草，味苦、辛、微寒归肝、胆经可清热，利湿，祛风，解毒，消肿。可用于制药等。	1	10	4	20	-1	-1	1	8	1	-1	-1	初级药材
20101002	2	1	1	2	Herbal1_1	蒲黄	香蒲科植物水烛的花粉性味甘平，入肝、心经功效收敛止血，活血祛瘀。可用于制药等。	1	10	4	20	-1	-1	1	8	1	-1	-1	初级药材
20101003	2	1	1	3	Herbal2_2	川贝	中药材，百合科多年草本植物贝母的干燥鳞茎，可止咳，平肝理气。可用于制药等。	2	20	4	20	-1	-1	1	8	2	-1	-1	初级药材
20101004	2	1	1	4	Herbal1_6	元胡	别名玄胡，小胡椒一样的，扁圆以块茎供药用，具有活血化瘀、理气止痛之功效。可用于制药等。	2	20	4	20	-1	-1	1	8	2	-1	-1	初级药材
20101005	2	1	1	5	Herbal1_8	枇杷	蔷薇科，枇杷属叶可入药，性平，味苦，可清肺下气，和胃降逆，主治肺热咳嗽，呕吐等症。可用于制药等。	3	30	4	20	-1	-1	1	8	3	-1	-1	初级药材
20101006	2	1	1	6	Herbal2_4	甘草	《神农本草经》称之为“美草”列为上品味甘性平，有益气和中、清热解毒、及缓急止痛之功效。可用于制药等。	3	30	4	20	-1	-1	1	8	3	-1	-1	初级药材
20101007	2	1	1	7	Herbal1_10	金银花	又名“双花”，善于化毒，故治痈疽、肿毒、疮癣、杨梅、风湿诸毒，诚为要药。可用于制药等。	3	30	4	20	-1	-1	1	8	3	-1	-1	初级药材
20101008	2	1	1	8	Herbal1_16	黃芩	黄芩又名香水草，为多年生草本；根状茎甚长，肥壮气微，味苦。可用于制药等。	4	40	4	20	-1	-1	1	8	4	-1	-1	中级药材
20101009	2	1	1	9	Herbal1_9	枸杞	双子叶植物药茄科植物，可补肾益精，养肝明目，补血安神，生津止渴，润肺止咳。可用于制药等。	4	40	4	20	-1	-1	1	8	4	-1	-1	中级药材
20101010	2	1	1	10	Herbal1_3	沉香	为瑞香科植物性微温，味辛、苦功效为行气止痛，温中止呕，纳气平喘。可用于制药等。	4	40	4	20	-1	-1	1	8	4	-1	-1	中级药材
20101011	2	1	1	11	Herbal1_11	杜仲	属杜仲科落叶乔木，药用部位是树皮主治腰脊疼痛，足膝酸楚等。可用于制药等。	5	50	4	20	-1	-1	1	8	5	-1	-1	中级药材
20101012	2	1	1	12	Herbal1_4	苍术	中生型植物，辛烈，性温而燥，可升可降，能径入诸经有明目之功，为治夜盲要药。可用于制药等。	5	50	4	20	-1	-1	1	8	5	-1	-1	中级药材
20101013	2	1	1	13	Herbal2_14	茯苓	是真菌类多孔菌科植物茯苓菌的菌核，性平、味甘淡、可益脾、安神、利水渗湿。可用于制药等。	5	50	4	20	-1	-1	1	8	5	-1	-1	中级药材
20101014	2	1	1	14	Herbal1_13	防风	伞形科植物防风的干燥根，味辛、甘，性温有解表发汗、祛风除湿作用，主治关节酸痛、破伤风等。可用于制药等。	6	60	4	20	-1	-1	1	8	6	-1	-1	中级药材
20101015	2	1	1	15	Herbal2_3	香薷	唇形科植物石香薷的地上部分，味辛，性微温归肺、胃经具解表、理气化湿之功。可用于制药等。	6	60	4	20	-1	-1	1	8	6	-1	-1	中级药材
20101016	2	1	1	16	Herbal2_9	黄连	毛茛科黄连属多年生常绿草本，以根状茎入药有泻火解毒，清热燥湿功效。可用于制药等。	6	60	4	20	-1	-1	1	8	6	-1	-1	中级药材
20101017	2	1	1	17	Herbal2_6	当归	伞形科当归属植物，药用其干燥根味甘、辛，性温归肝、心、脾经甘温质润，为补血要药。可用于制药等。	7	70	4	20	-1	-1	1	8	7	-1	-1	高级药材
20101018	2	1	1	18	Herbal1_5	桂心	香木类植物味苦、辛可引血化汗化脓，益精明目，消瘀生肌，补劳伤，暖腰膝，续筋骨等。可用于制药等。	7	70	4	20	-1	-1	1	8	7	-1	-1	高级药材
20101019	2	1	1	19	Herbal2_1	香附	莎草科多年生草本植物莎草的根茎辛散苦降，甘缓性平，长于疏肝理气，并有止痛作用。可用于制药等。	7	70	4	20	-1	-1	1	8	7	-1	-1	高级药材
20101020	2	1	1	20	Herbal1_7	藿香	唇形科，藿香属多年生草本其性微温，味辛，入脾、胃、肺经有祛暑解表、化湿醒脾、辟秽和中之功能。可用于制药等。	8	80	4	20	-1	-1	1	8	8	-1	-1	高级药材
20101021	2	1	1	21	Herbal2_4	回神草	有醉人的香气，可用来入药功能为清热解毒、开窍豁疾。可用于制药等。	8	80	4	20	-1	-1	1	8	8	-1	-1	高级药材
20101022	2	1	1	22	Herbal2_7	首乌	又叫何首乌，是蓼科植物何首乌藤的根部块茎苦甘涩微温肝，肾功能为补肝肾，益精血，壮筋骨。可用于制药等。	8	80	4	20	-1	-1	1	8	8	-1	-1	高级药材
20101023	2	1	1	23	Herbal1_15	冬虫夏草	虫和草结合在一起长的一种奇特的东西性温、味甘、气香，具有止血、益气止汗、爽身明目、益寿等功效。可用于制药等。	9	90	4	20	-1	-1	1	8	9	-1	-1	高级药材
20101024	2	1	1	24	Herbal1_5	龙葵籽	龙葵的果实，外壳上天生有龙型的花纹，凉血清心而解热毒，使火平热降，毒解血宁。可用于制药等。	9	90	4	20	-1	-1	1	8	9	-1	-1	高级药材
20101025	2	1	1	25	Herbal1_14	象贝	百合科的多年生草本，春生夏萎性寒、味苦，主治外感受咳嗽、肺痛等。可用于制药等。	10	100	4	20	-1	-1	1	8	10	-1	-1	高级药材
20101026	2	1	1	26	Herbal2_10	人参	名贵中药材，性味性温，味甘、微苦主治大补元气，复脉固脱，补脾益肺，生津，安神。可用于制药等。	10	100	4	20	-1	-1	1	8	10	-1	-1	高级药材
20101027	2	1	1	27	Herbal2_12	灵芝	真菌类味苦平，无毒，益心气，补中，增智慧；久食，轻身不老，延年神仙。可用于制药等。	11	110	4	20	-1	-1	1	8	11	-1	-1	高级药材
20101028	2	1	1	28	Herbal1_16	荀草	草叶似兰、果赤、可明目养颜，养血补心主治头晕目眩，筋骨痿软。可用于制药等。	11	110	4	20	-1	-1	1	8	11	-1	-1	高级药材
20101029	2	1	1	29	Herbal2_6	莲子	莲花的果实味苦，辛，温可益气止汗、爽身明目。可用于制药等。	12	120	4	20	-1	-1	1	8	12	-1	-1	高级药材
20101030	2	1	1	30	Herbal1_16	枯木春	无色无味的药草，放入水中稍煮即完全熔化功效为解毒，祛风，起死回生。可用于制药等。	12	120	4	20	-1	-1	1	8	12	-1	-1	高级药材
20102001	2	1	2	1	Fish_1	草鱼	又名鲩鱼、草鲩、草棒、草青、厚鱼，以其食草为生，故名草鱼有青、白二色，白者味佳。可用于烹饪。	1	10	4	20	-1	-1	1	9	1	-1	-1	初级鱼类
20102002	2	1	2	2	Fish_3	鲫鱼	俗称喜头鱼、鲫瓜子，属鲤形目，鲤科，鲫属耐受力强，食性杂，喜爱群游，常栖息在杂草丛生地。可用于烹饪。	2	20	4	20	-1	-1	1	9	2	-1	-1	初级鱼类
20102003	2	1	2	3	Fish_9	鲢鱼	又叫白鲢、鲢子体形侧扁，背部青灰色，两侧及腹部白色头较大，眼睛位置很低。可用于烹饪。	3	30	4	20	-1	-1	1	9	3	-1	-1	初级鱼类
20102004	2	1	2	4	Fish_8	平鱼	学名鲳，是一种身体扁平的海鱼。可用于烹饪。	4	40	4	20	-1	-1	1	9	4	-1	-1	中级鱼类
20102005	2	1	2	5	Fish_5	鳝鱼	一种半冬眠的鱼类，当气温低于15℃时，鳝鱼便不吃不动，靠微量呼吸进入冬眠。可用于烹饪。	5	50	4	20	-1	-1	1	9	5	-1	-1	中级鱼类
20102006	2	1	2	6	Fish_10	黑鱼	也叫黑鱼棒子，属食肉类鱼，是养鱼业的一大害鱼这种鱼繁殖生长快，性凶猛，只要钓法正确，极易钓取。可用于烹饪。	6	60	4	20	-1	-1	1	9	6	-1	-1	中级鱼类
20102007	2	1	2	7	Fish_6	斗鱼	身形如梭，体长七八厘米，全身浅绿，有12条黑色的斑纹，长长的尾鳍和臀鳍像彩色的飘带，背鳍鲜红。可用于烹饪。	7	70	4	20	-1	-1	1	9	7	-1	-1	高级鱼类
20102008	2	1	2	8	Fish_2	鲳鱼	又名白鲳、鲳板、镜鱼、平鱼、鲳扁鱼，系银鲳属鲳科，栖息于近海的中下层。可用于烹饪。	8	80	4	20	-1	-1	1	9	8	-1	-1	高级鱼类
20102009	2	1	2	9	Fish_11	银鱼	淡水鱼，长约七至十厘米，体长略圆，细嫩透明，色泽如银，因而得名。可用于烹饪。	9	90	4	20	-1	-1	1	9	9	-1	-1	高级鱼类
20102010	2	1	2	10	Fish_7	鲑鱼	这类鱼中多数是食肉的，它们或者在水中追逐猎物，或者潜伏在水草中，等待鱼和其他动物靠近。可用于烹饪。	10	100	4	20	-1	-1	1	9	10	-1	-1	高级鱼类
20102011	2	1	2	11	Fish_4	骨舌鱼	骨舌鱼科是一种下颌具须，体侧扁，腹部有棱突的古老淡水鱼种群，属于鲱形目。可用于烹饪。	11	110	4	20	-1	-1	1	9	11	-1	-1	高级鱼类
20102012	2	1	2	12	Fish_12	六线鱼	体延长，侧扁头中大，尖突，头顶无棘棱眼较小，侧位，口较小，端位。可用于烹饪。	12	120	4	20	-1	-1	1	9	12	-1	-1	高级鱼类
20102013	2	1	2	13	Food_1	青鱼	又名乌青、溪鱼，栖息于水中下层，生长快，肉味鲜美。可用于烹饪。	1	10	4	20	-1	-1	1	9	1	-1	-1	初级鱼类
20102014	2	1	2	14	Food_1	箭鱼	又称青箭鱼。因其上颌向前延伸呈剑状，故名。属鱼纲、鲈形目、箭鱼科的一种飞鱼。可用于烹饪。	2	20	4	20	-1	-1	1	9	2	-1	-1	初级鱼类
20102015	2	1	2	15	Food_1	鲈鱼	鲈鱼肉质坚实洁白，不仅营养价值高，而且口味鲜美。可用于烹饪。	3	30	4	20	-1	-1	1	9	3	-1	-1	初级鱼类
20102016	2	1	2	16	Food_1	扁头鱼	它的头、尾、腹扁平，背呈流线型，银色，栖息于近海的浅层。可用于烹饪。	4	40	4	20	-1	-1	1	9	4	-1	-1	中级鱼类
20102017	2	1	2	17	Food_1	油力鱼	细小，肥嫩，入口鲜美，全身浅色，腹部有深色花纹。可用于烹饪。	5	50	4	20	-1	-1	1	9	5	-1	-1	中级鱼类
20102018	2	1	2	18	Food_1	秋刀鱼	身体扁平，鳞片小，全身银色，味道鲜美，营养价值高。可用于烹饪。	6	60	4	20	-1	-1	1	9	6	-1	-1	中级鱼类
20102019	2	1	2	19	Food_1	梭鱼	头短而宽，鳞片很大。梭鱼的背侧呈青灰色，腹面浅灰色，两侧鳞片有黑色的竖纹。可用于烹饪。	7	70	4	20	-1	-1	1	9	7	-1	-1	高级鱼类
20102020	2	1	2	20	Food_1	光背鱼	臀鳍像窗帘一样，从胸部连到尾部。骠具有肺的作用，所以常浮出水面呼吸，口能大开。可用于烹饪。	8	80	4	20	-1	-1	1	9	8	-1	-1	高级鱼类
20102021	2	1	2	21	Food_1	钩鱼	在海水和淡水混合的水域，行群居生活，成鱼头部前端有突起。可用于烹饪。	9	90	4	20	-1	-1	1	9	9	-1	-1	高级鱼类
20102022	2	1	2	22	Food_1	摆鳍鱼	体长，稍侧扁，呈优美的流线型。躯体青褐色，有灰白色圆斑。可用于烹饪。	10	100	4	20	-1	-1	1	9	10	-1	-1	高级鱼类
20102023	2	1	2	23	Food_1	珍珠鱼	全身包括背鳍、臀鳍在内布满银色珠点。游动时珠光闪烁，美丽无比，故得名珍珠鱼。可用于烹饪。	11	110	4	20	-1	-1	1	9	11	-1	-1	高级鱼类
