INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
ID	分类 ID（互斥用）	PRI优先级	图标文件名	触发特效ID	触发特效的音效ID	触发特效的绑定点	持续性特效ID	持续特效的音效ID	持续性特效的绑定点	死后是否保留	是否可以被技能驱散	是否是负面效果	是否可以被手动取消	是否为线性特效	线性特效的绑定点	效果说明
1	1	0	FightSkillShaoLin1_6				g01_buff2		身体受击点	0	1	1	0	0		韦陀杵：持续掉血
2	2	0	FightSkillShaoLin1_7				npc_buff_19		身体受击点	0	1	1	0	0		中毒：持续掉血
3	3	0	FightSkillXinXiu1_12				g01_buff32		身体受击点	0	1	1	0	0		含沙射影：持续掉血
4	4	0	FightSkillShaoLin1_9				g01_buff36		身体受击点	0	1	1	0	0		灼烧：持续掉血
5	5	0	FightSkillShaoLin1_10				g01_buff46_01		身体受击点	0	1	1	0	0		噬血：持续掉血
6	6	0	FightSkillShaoLin1_11				npc_buff_19		身体受击点	0	1	1	0	0		兽毒：持续掉血
7	7	0	FightSkillWuDang1_5							0	0	1	0	1	身体受击点	泄气：持续减气
8	8	0	FightSkillXinXiu1_14							0	0	1	0	1	身体受击点	安抚：持续减怒
9	9	0	Medicine2_5							0	0	0	1	0		回血：持续回血
10	10	0	Medicine2_6							0	0	0	1	0		回气：持续回气
11	11	0	FightSkillXinXiu1_6				g01_buff42		身体受击点	0	1	1	0	0		围困：移动不能，操作不能，不可被攻击
12	12	0	FightSkillXinXiu1_7							0	1	1	0	0		石化：移动不能，操作不能，不可被攻击
13	13	0	FightSkillXinXiu1_8				npc_buff_01		身体受击点	0	1	1	0	0		封穴：移动不能，操作不能，可被攻击,无法被打醒
14	14	0	FightSkillXinXiu1_10				npc_buff_02		头顶状态点	0	1	1	0	0		麻痹：移动不能，操作不能，可被攻击,无法被打醒
15	15	0	FightSkillXinXiu1_11				g01_buff102		头顶状态点	0	1	1	0	0		昏迷：移动不能，操作不能，可被攻击,可被打醒
16	16	0	FightSkillXinXiu1_12				g01_buff38		头顶状态点	0	1	1	0	0		失魂：移动不能，操作不能，可被攻击,可被打醒
17	17	0	FightSkillXinXiu1_13				npc_buff_06		头顶状态点	0	1	1	0	0		失明：随机移动，操作不能,可被攻击,无法被打醒
18	18	0	FightSkillXinXiu1_14				npc_buff_07		头顶状态点	0	1	1	0	0		恐惧：随机移动，操作不能,可被攻击,无法被打醒
19	19	0	FightSkillXinXiu1_15				g01_buff27		脚下光圈点	0	1	1	0	0		定身：无法移动
20	20	0	FightSkillXinXiu2_13				npc_buff_09		脚下光圈点	0	1	1	0	0		缠绕：无法移动
21	21	0	FightSkillDaLi_5	g01_buff41		身体受击点	g01_buff45		头顶状态点	0	1	1	0	0		散功：无法使用任何门派技能
22	22	0	FightSkillDaLi_7	npc_buff_10		身体受击点	g01_buff34		头顶状态点	0	1	1	0	0		就擒：无法使用任何门派技能
23	23	0	FightSkillDaLi_6	npc_buff_11		脚下光圈点	g01_buff100		脚下光圈点	0	1	1	0	0		僵硬:移动速度减慢
24	24	0	FightSkillDaLi_8							0	1	1	0	0		破绽：攻击
25	25	0	FightSkillDaLi_10							0	1	1	0	0		破绽：防御
26	26	0	FightSkillDaLi_11							0	1	1	0	0		破绽：攻防
27	27	0	FightSkillDaLi_12							0	1	1	0	0		破绽：抗性
28	28	0	FightSkillTianShan_2							0	1	1	0	0		破绽：外功防御
29	29	0	FightSkillTianShan_3							0	1	1	0	0		破绽：内功防御
30	30	0	FightSkillTianShan_4							0	1	1	0	0		破绽：玄防御
31	31	0	FightSkillTianShan_5							0	1	1	0	0		破绽：毒防御
32	32	0	FightSkillMingJiao_8							0	1	1	0	0		虚弱：血上限
33	33	0	FightSkillXiaoYao_11							0	1	1	0	0		虚弱：气上限
34	34	0	FightSkillTianShan_9							0	1	1	0	0		虚弱：力量
35	35	0	FightSkillTianShan_10							0	1	1	0	0		虚弱：灵气
36	36	0	FightSkillTianShan_12							0	1	1	0	0		虚弱：体力
37	37	0	FightSkillTianShan_13							0	1	1	0	0		虚弱：定力
38	38	0	FightSkillTianShan_14							0	1	1	0	0		虚弱：身法
39	39	0	FightSkillTianShan_15							0	0	0	1	0		强化:外功攻击
40	40	0	FightSkillXiaoYao_5							0	0	0	1	0		强化:内功攻击
41	41	0	FightSkillXiaoYao_6							0	0	0	1	0		强化:外攻防御
42	42	0	FightSkillXiaoYao_7							0	0	0	1	0		强化:内功防御
43	43	0	FightSkillXiaoYao_9							0	0	0	1	0		强化:攻击
44	44	0	FightSkillXiaoYao_10							0	0	0	1	0		强化:防御
45	45	0	FightSkillXiaoYao_11							0	0	0	1	0		强化:攻防
46	46	0	FightSkillXiaoYao_13							0	0	0	1	0		强化:抗性
47	47	0	FightSkillXiaoYao_15							0	0	0	1	0		强化:冰防御
48	48	0	FightSkillXinXiu1_5							0	0	0	1	0		强化:火防御
49	49	0	FightSkillXinXiu1_16							0	0	0	1	0		强化:毒防御
50	50	0	FightSkillWuDang1_6							0	0	0	1	0		强化:玄防御
51	51	0	FightSkillWuDang1_12	cw_jieli		头顶状态点				0	0	0	1	0		强化:力量
52	52	0	FightSkillWuDang1_14	cw_ningshen		头顶状态点				0	0	0	1	0		强化:灵气
53	53	0	FightSkillWuDang1_10	cw_qiangshen		头顶状态点				0	0	0	1	0		强化:体力
54	54	0	FightSkillWuDang1_7	cw_yihun		头顶状态点				0	0	0	1	0		强化:定力
55	55	0	FightSkillShaoLin1_8	cw_jiasu		头顶状态点				0	0	0	1	0		强化:身法
56	56	0	FightSkillTianShan_12							0	0	0	1	0		强化:命中
57	57	0	FightSkillWuDang1_5							0	0	0	1	0		强化:闪避
58	58	0	FightSkillWuDang1_15							0	0	0	1	0		强化:会心
59	59	0	FightSkillWuDang1_16							0	0	0	1	0		强化:血上限
60	60	0	FightSkillWuDang2_16							0	0	0	1	0		增强:外功攻击
61	61	0	FightSkillXinXiu1_6							0	0	0	1	0		增强:内功攻击
62	62	0	FightSkillXinXiu1_7							0	0	0	1	0		增强:外攻防御
63	63	0	FightSkillXinXiu1_8							0	0	0	1	0		增强:内功防御
