INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
index	名称	ResultID	ResultNum	对应技能ID	技能等级需求（此列最低填1）	Stuff1ID	Stuff1num	Stuff2ID	Stuff2num	Stuff3ID	Stuff3num	Stuff4ID	Stuff4num	Stuff5ID	Stuff5num	活力需求	精力需求	属性需求2编号	属性需求2数量	冷却时间(毫秒)	需求工具ID	冷却组ID	熟练度需求	增加熟练度	功能分组	操作时间	脚本ID	失败时产品编号	随机配方的详细描述
0	馒头配方	30101001	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	1	0	0		3000	-1	30101001	我填了
1	鬼头刀配方	10400001	1	4	1	20103001	1	20103002	1	20103003	1	20308001	1	-1	-1	3	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
2	宿铁刀配方	10400006	1	4	2	20103002	1	20103003	1	20103004	1	20308002	1	-1	-1	5	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
3	宝钿刀配方	10400011	1	4	3	20103003	1	20103004	1	20103005	1	20308003	1	-1	-1	7	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
4	银装刀配方	10400016	1	4	4	20103004	1	20103005	1	20103006	1	20308004	1	-1	-1	9	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
5	雁翅刀配方	10400021	1	4	5	20103005	1	20103006	1	20103007	1	20308005	1	-1	-1	11	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
6	昭仪灵宝配方	10200006	1	4	6	20103006	1	20103007	1	20103008	1	20308006	1	-1	-1	13	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
7	八荒蝉翼配方	10200007	1	4	7	20103007	1	20103008	1	20103009	1	20308007	1	-1	-1	15	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
8	火精流光配方	10200008	1	4	8	20103008	1	20103009	1	20103010	1	20308008	1	-1	-1	17	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
9	魔刀破风配方	10200009	1	4	9	20103009	1	20103010	1	20103011	1	20308009	1	20306005	1	19	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
10	泣月神刀配方	10200010	1	4	10	20103010	1	20103011	1	20103012	1	20308010	1	20306006	1	21	-1	-1	-1	3600000	-1	4	0	1		3000	-1	-1	我填了
11	赤铁棒配方	10401001	1	4	1	20103001	3	20308011	1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	4	0	1		3000	-1	-1	我填了
