INT	INT	INT
ID	等级	最大金钱
1	1	1000000
2	2	4000000
3	3	9000000
4	4	16000000
5	5	25000000
6	6	36000000
7	7	49000000
8	8	64000000
9	9	81000000
10	10	100000000
11	11	121000000
12	12	144000000
13	13	169000000
14	14	196000000
15	15	225000000
16	16	256000000
17	17	289000000
18	18	324000000
19	19	361000000
20	20	400000000
21	21	441000000
22	22	484000000
23	23	529000000
24	24	576000000
25	25	625000000
26	26	676000000
27	27	729000000
28	28	784000000
29	29	841000000
30	30	900000000
31	31	961000000
32	32	1024000000
33	33	1089000000
34	34	1156000000
35	35	1225000000
36	36	1296000000
37	37	1369000000
38	38	1444000000
39	39	1521000000
40	40	1600000000
41	41	1681000000
42	42	1764000000
43	43	1849000000
44	44	1936000000
45	45	2025000000
46	46	2116000000
47	47	2209000000
48	48	2304000000
49	49	2401000000
50	50	2500000000
51	51	2601000000
52	52	2704000000
53	53	2809000000
54	54	2916000000
55	55	3025000000
56	56	3136000000
57	57	3249000000
58	58	3364000000
59	59	3481000000
60	60	3600000000
61	61	3721000000
62	62	3844000000
63	63	3969000000
64	64	4096000000
65	65	4225000000
66	66	4356000000
67	67	4489000000
68	68	4624000000
69	69	4761000000
70	70	4900000000
71	71	5041000000
72	72	5184000000
73	73	5329000000
74	74	5476000000
75	75	5625000000
76	76	5776000000
77	77	5929000000
78	78	6084000000
79	79	6241000000
80	80	6400000000
81	81	6561000000
82	82	6724000000
83	83	6889000000
84	84	7056000000
85	85	7225000000
86	86	7396000000
87	87	7569000000
88	88	7744000000
89	89	7921000000
90	90	8100000000
91	91	8281000000
92	92	8464000000
93	93	8649000000
94	94	8836000000
95	95	9025000000
96	96	9216000000
97	97	9409000000
98	98	9604000000
99	99	9801000000
100	100	10000000000
