INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT
怪物编号	名称	不可被攻击	等级	基础经验获得	友好值	休闲间隔时间	基础AI	扩展AI	阵营	掉落分配半径(米)	掉落最大有效组	最小伤血百分比	是否可以交互	BOSS标记	物理攻击	物理防御	魔法攻击	魔法防御	HP上限	MP上限	HP回复	MP回复	命中率	闪避	会心率	移动速度	步行速度	攻击速度	冰攻击	冰防御	火攻击	火防御	电攻击	电防御	毒攻击	毒防御	瞬时效果免疫ID	持续效果免疫ID	外型ID	是否显示头顶信息板	是否随玩家转向	名字板高度	选中环大小	阴影大小	人物头像	攻击动作时间	攻击冷却时间
0	段誉	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	12	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
1	萧峰	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	57	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
2	虚竹	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	226	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
4	慕容复	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	118	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
5	阿朱	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	121	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
6	阿紫	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	95	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
7	游坦之	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	72	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
8	丁春秋	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	2500	0	0	0	0	0	0	0	0	0	0	-1	-1	11	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
9	段正明	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	125	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
10	段正淳	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	124	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
11	苏轼	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	117	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
12	王安石	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	116	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
14	韩世忠	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	131	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
15	燕青	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	131	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
16	方腊	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	126	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
17	高俅	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	87	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
18	童贯	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	87	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
19	张玄素	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	76	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
20	玄慈	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	110	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
21	藤原佐为	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	54	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
22	金左焕	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	20	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
24	萧远山	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	59	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
25	慕容博	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	59	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
27	宗赞王子	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	78	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
29	玛拉	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	129	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
30	苏星河	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	100	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
31	段延庆	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	123	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
34	李师师	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	25	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
35	天山童姥	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	225	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
36	钟灵	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	225	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
37	梅剑	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	221	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
38	银川公主	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	71	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
39	朱丹臣	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	136	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
40	云中鹤	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	73	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
41	叶二娘	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	70	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
42	毕昇	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	5	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
44	阿碧	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	120	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
45	孟青青	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	217	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
48	红玉	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	134	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
49	秦红棉	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	37	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
50	冯阿三	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	130	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
51	赫连铁树	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	200	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
52	萧蔷	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	17	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
53	夏侯敦	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	566	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
101	宋朝左相	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	7	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
102	宋朝右相	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	201	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
103	宋朝枢密	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	202	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
104	宋朝太守	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	203	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
105	宋朝尚书	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	211	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
106	宋朝学士	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	212	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
107	宋朝御史	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	52	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
108	宋朝侍郎	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	93	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
109	宋朝文书	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	32	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
110	宋朝小吏	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	32	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
111	宋朝小将	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	67	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
112	宋朝小将	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	240	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
113	宋朝小将	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	241	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
114	宋朝小将	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	242	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
115	宋朝儒帅	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	179	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
116	宋朝儒将	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	179	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
117	汴京校尉	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	204	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
118	长安校尉	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	205	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
119	洛阳校尉	1	60	423	0	10	3	-1	10	20	1	10	1	0	0	9999	9999	9999	9999	100	0	0	0	999	0	3500	0	0	0	0	0	0	0	0	0	0	-1	-1	206	1	1	-1	100	100	set:CommonNPCHeader1 image:CommonNPCHeader1_15	1000	2000
