INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
宠物编号	名称	可携带等级	阵营	是否变异	是否宝宝	食物类	所能学的技能数	主动技能	被动技能1	被动技能2	被动技能3	被动技能4	标准寿命	标准力量资质	标准体质资质	标准灵气资质	标准身法资质	标准定力资质	成长率1	成长率2	成长率3	成长率4	成长率5	胆小(1/1000)	谨慎(1/1000)	忠诚(1/1000)	精明(1/1000)	勇猛(1/1000)
3000	柴猫	1	9	0	0	1000	3	694	652	657	-1	-1	7000	954	636	716	1034	636	850	860	870	880	890	20	50	20	900	10
3001	变异柴猫	1	9	1	0	1000	3	695	653	712	-1	-1	7000	964	646	726	1044	646	860	870	880	890	900	20	50	20	900	10
3009	柴猫宝宝	1	9	0	1	1000	3	694	652	657	-1	-1	7000	954	636	716	1034	636	850	860	870	880	890	20	50	20	900	10
3010	兔子	1	9	0	0	100	3	690	652	666	-1	-1	7000	557	716	1113	716	1034	855	865	875	885	895	150	800	20	20	10
3011	变异兔子	1	9	1	0	100	3	691	655	667	-1	-1	7000	567	726	1123	726	1044	865	875	885	895	905	150	800	20	20	10
3019	兔子宝宝	1	9	0	1	100	3	690	652	666	-1	-1	7000	557	716	1113	716	1034	855	865	875	885	895	150	800	20	20	10
3020	公鸡	1	9	0	0	11	3	676	653	662	-1	-1	7000	875	795	875	716	716	860	870	880	890	900	10	20	20	150	800
3021	变异公鸡	1	9	1	0	11	3	677	659	668	-1	-1	7000	885	805	885	726	726	870	880	890	900	910	10	20	20	150	800
3029	公鸡宝宝	1	9	0	1	11	3	676	653	662	-1	-1	7000	875	795	875	716	716	860	870	880	890	900	10	20	20	150	800
3030	狗	20	9	0	0	1000	3	686	658	654	-1	-1	7000	1176	840	588	1008	588	860	870	880	890	900	10	20	800	20	150
3031	变异狗	20	9	1	0	1000	3	687	668	706	-1	-1	7000	1186	850	598	1018	598	870	880	890	900	910	10	20	800	20	150
3039	狗宝宝	20	9	0	1	1000	3	686	658	654	-1	-1	7000	1176	840	588	1008	588	860	870	880	890	900	10	20	800	20	150
3040	山羊	20	9	0	0	100	3	682	653	656	-1	-1	7000	924	924	756	672	924	865	875	885	895	905	150	800	20	20	10
3041	变异山羊	20	9	1	0	100	3	683	655	668	-1	-1	7000	934	934	766	682	934	875	885	895	905	915	150	800	20	20	10
3049	山羊宝宝	20	9	0	1	100	3	682	653	656	-1	-1	7000	924	924	756	672	924	865	875	885	895	905	150	800	20	20	10
3050	鸭子	20	9	0	0	11	3	676	652	660	-1	-1	7000	588	756	1176	756	1092	870	880	890	900	910	800	150	20	20	10
3051	变异鸭子	20	9	1	0	11	3	677	660	712	-1	-1	7000	598	766	1186	766	1102	880	890	900	910	920	800	150	20	20	10
3059	鸭子宝宝	20	9	0	1	11	3	676	652	660	-1	-1	7000	588	756	1176	756	1092	870	880	890	900	910	800	150	20	20	10
3060	猪	30	9	0	0	1	3	690	654	656	-1	-1	7000	885	1239	708	620	974	870	880	890	900	910	20	50	20	900	10
3061	变异猪	30	9	1	0	1	3	691	658	669	-1	-1	7000	895	1249	718	630	984	875	885	895	905	915	20	50	20	900	10
3062	变异猪	30	9	1	0	1	3	696	669	718	-1	-1	7000	905	1259	728	640	994	880	890	900	910	920	20	50	20	900	10
3069	猪宝宝	30	9	0	1	1	3	690	654	656	-1	-1	7000	885	1239	708	620	974	870	880	890	900	910	20	50	20	900	10
3070	鹅	30	9	0	0	11	3	688	655	660	-1	-1	7000	620	797	1239	797	1151	880	890	900	910	920	800	150	20	20	10
3071	变异鹅	30	9	1	0	11	3	689	660	671	-1	-1	7000	630	807	1249	807	1161	885	895	905	915	925	800	150	20	20	10
3072	变异鹅	30	9	1	0	11	3	689	671	702	-1	-1	7000	640	817	1259	817	1171	890	900	910	920	930	800	150	20	20	10
3079	鹅宝宝	30	9	0	1	11	3	688	655	660	-1	-1	7000	620	797	1239	797	1151	880	890	900	910	920	800	150	20	20	10
3080	毛驴	30	9	0	0	100	3	694	661	662	-1	-1	7500	974	885	974	797	797	895	905	915	925	935	10	20	20	150	800
3081	变异毛驴	30	9	1	0	100	3	695	663	706	-1	-1	7500	984	895	984	807	807	900	910	920	930	940	10	20	20	150	800
3082	变异毛驴	30	9	1	0	100	3	695	663	707	-1	-1	7500	994	905	994	817	817	905	915	925	935	945	10	20	20	150	800
3089	毛驴宝宝	30	9	0	1	100	3	694	661	662	-1	-1	7500	974	885	974	797	797	895	905	915	925	935	10	20	20	150	800
3090	青蛙	40	9	0	0	10	4	676	660	664	712	-1	7500	651	837	1302	837	1209	890	900	910	920	930	800	150	20	20	10
3091	变异青蛙	40	9	1	0	10	4	677	671	660	712	-1	7500	661	847	1312	847	1219	895	905	915	925	935	800	150	20	20	10
3092	变异青蛙	40	9	1	0	10	4	677	704	666	712	-1	7500	671	857	1322	857	1229	900	910	920	930	940	800	150	20	20	10
3099	青蛙宝宝	40	9	0	1	10	4	676	660	664	712	-1	7500	651	837	1302	837	1209	890	900	910	920	930	800	150	20	20	10
3100	猴子	40	9	0	0	1	4	692	657	706	712	-1	7500	1116	744	837	1209	744	895	905	915	925	935	20	50	20	900	10
3101	变异猴子	40	9	1	0	1	4	693	659	707	668	-1	7500	1126	754	847	1219	754	900	910	920	930	940	20	50	20	900	10
3102	变异猴子	40	9	1	0	1	4	693	662	708	669	-1	7500	1136	764	857	1229	764	905	915	925	935	945	20	50	20	900	10
3109	猴子宝宝	40	9	0	1	1	4	692	657	706	712	-1	7500	1116	744	837	1209	744	895	905	915	925	935	20	50	20	900	10
3110	龟	40	9	0	0	1000	4	684	656	668	716	-1	9000	930	1302	744	651	1023	900	910	920	930	940	800	150	20	20	10
3111	变异龟	40	9	1	0	1000	4	685	656	669	716	-1	9000	940	1312	754	661	1033	905	915	925	935	945	800	150	20	20	10
3112	变异龟	40	9	1	0	1000	4	685	658	669	717	-1	9000	950	1322	764	671	1043	910	920	930	940	950	800	150	20	20	10
3119	龟宝宝	40	9	0	1	1000	4	684	656	668	716	-1	9000	930	1302	744	651	1023	900	910	920	930	940	800	150	20	20	10
3120	蝙蝠	40	9	0	0	10	4	694	659	666	708	-1	7500	1023	1023	837	744	1023	905	915	925	935	945	10	20	20	150	800
3121	变异蝙蝠	40	9	1	0	10	4	695	659	667	708	-1	7500	1033	1033	847	754	1033	910	920	930	940	950	10	20	20	150	800
3122	变异蝙蝠	40	9	1	0	10	4	695	661	667	709	-1	7500	1043	1043	857	764	1043	915	925	935	945	955	10	20	20	150	800
3129	蝙蝠宝宝	40	9	0	1	10	4	694	659	666	708	-1	7500	1023	1023	837	744	1023	905	915	925	935	945	10	20	20	150	800
3130	松鼠	50	9	0	0	1	4	678	653	660	666	-1	7500	683	878	1365	878	1268	900	910	920	930	940	800	150	20	20	10
3131	变异松鼠	50	9	1	0	1	4	678	657	703	671	-1	7500	693	888	1375	888	1278	905	915	925	935	945	800	150	20	20	10
3132	变异松鼠	50	9	1	0	1	4	679	660	712	705	-1	7500	703	898	1385	898	1288	910	920	930	940	950	800	150	20	20	10
3133	变异松鼠	50	9	1	0	1	4	679	666	713	715	-1	7500	713	908	1395	908	1298	915	925	935	945	955	800	150	20	20	10
3139	松鼠宝宝	50	9	0	1	1	4	678	653	660	666	-1	7500	683	878	1365	878	1268	900	910	920	930	940	800	150	20	20	10
3140	蜥蜴	50	9	0	0	10	4	696	654	659	724	-1	8000	1073	1073	878	780	1073	905	915	925	935	945	150	800	20	20	10
3141	变异蜥蜴	50	9	1	0	10	4	696	658	668	718	-1	8000	1083	1083	888	790	1083	910	920	930	940	950	150	800	20	20	10
3142	变异蜥蜴	50	9	1	0	10	4	697	662	707	720	-1	8000	1093	1093	898	800	1093	915	925	935	945	955	150	800	20	20	10
3143	变异蜥蜴	50	9	1	0	10	4	697	653	705	711	-1	8000	1103	1103	908	810	1103	920	930	940	950	960	150	800	20	20	10
3149	蜥蜴宝宝	50	9	0	1	10	4	696	654	659	724	-1	8000	1073	1073	878	780	1073	905	915	925	935	945	150	800	20	20	10
3150	燕子	50	9	0	0	11	4	692	652	657	702	-1	8000	1170	780	878	1268	780	910	920	930	940	950	10	20	800	20	150
3151	变异燕子	50	9	1	0	11	4	692	654	657	703	-1	8000	1180	790	888	1278	790	915	925	935	945	955	10	20	800	20	150
3152	变异燕子	50	9	1	0	11	4	693	664	660	716	-1	8000	1190	800	898	1288	800	920	930	940	950	960	10	20	800	20	150
3153	变异燕子	50	9	1	0	11	4	693	665	660	714	-1	8000	1200	810	908	1298	810	925	935	945	955	965	10	20	800	20	150
3159	燕子宝宝	50	9	0	1	11	4	692	652	657	702	-1	8000	1170	780	878	1268	780	910	920	930	940	950	10	20	800	20	150
3160	刺猬	50	9	0	0	10	4	682	653	662	706	-1	8000	1073	975	1073	878	878	915	925	935	945	955	150	800	20	20	10
3161	变异刺猬	50	9	1	0	10	4	682	654	663	706	-1	8000	1083	985	1083	888	888	920	930	940	950	960	150	800	20	20	10
3162	变异刺猬	50	9	1	0	10	4	683	656	710	707	-1	8000	1093	995	1093	898	898	925	935	945	955	965	150	800	20	20	10
3163	变异刺猬	50	9	1	0	10	4	683	658	711	707	-1	8000	1103	1005	1103	908	908	930	940	950	960	970	150	800	20	20	10
3169	刺猬宝宝	50	9	0	1	10	4	682	653	662	706	-1	8000	1073	975	1073	878	878	915	925	935	945	955	150	800	20	20	10
3170	浣熊	60	9	0	0	1000	4	672	652	664	712	-1	8000	1122	1122	918	816	1122	920	930	940	950	960	10	20	20	150	800
3171	变异浣熊	60	9	1	0	1000	4	672	652	665	712	-1	8000	1132	1132	928	826	1132	925	935	945	955	965	10	20	20	150	800
3172	变异浣熊	60	9	1	0	1000	4	673	655	670	712	-1	8000	1142	1142	938	836	1142	930	940	950	960	970	10	20	20	150	800
3173	变异浣熊	60	9	1	0	1000	4	673	658	671	713	-1	8000	1152	1152	948	846	1152	935	945	955	965	975	10	20	20	150	800
3174	变异浣熊	60	9	1	0	1000	4	681	659	667	713	-1	8000	1162	1162	958	856	1162	940	950	960	970	980	10	20	20	150	800
3179	浣熊宝宝	60	9	0	1	1000	4	672	652	664	712	-1	8000	1122	1122	918	816	1122	920	930	940	950	960	10	20	20	150	800
3180	猫头鹰	60	9	0	0	1000	4	672	659	668	703	-1	8000	1224	816	918	1326	816	930	940	950	960	970	150	800	20	20	10
3181	变异猫头鹰	60	9	1	0	1000	4	673	661	669	702	-1	8000	1234	826	928	1336	826	935	945	955	965	975	150	800	20	20	10
3182	变异猫头鹰	60	9	1	0	1000	4	673	660	670	714	-1	8000	1244	836	938	1346	836	940	950	960	970	980	150	800	20	20	10
3183	变异猫头鹰	60	9	1	0	1000	4	675	652	671	715	-1	8000	1254	846	948	1356	846	945	955	965	975	985	150	800	20	20	10
