INT	INT
Level	Exp
1	200
2	400
3	650
4	950
5	1300
6	1700
7	2150
8	2650
9	3200
10	3800
11	4415
12	5060
13	5750
14	6500
15	7325
16	8240
17	9260
18	10400
19	11675
20	13100
21	14690
22	16460
23	18425
24	20600
25	23000
26	25640
27	28535
28	31700
29	35150
30	38900
31	42965
32	47360
33	52100
34	57200
35	62675
36	68540
37	74810
38	81500
39	88625
40	96200
41	104240
42	112760
43	121775
44	131300
45	141350
46	151940
47	163085
48	174800
49	187100
50	200000
51	213515
52	227660
53	242450
54	257900
55	274025
56	290840
57	308360
58	326600
59	345575
60	365300
61	385790
62	407060
63	429125
64	452000
65	475700
66	500240
67	525635
68	551900
69	579050
70	607100
71	636065
72	665960
73	696800
74	728600
75	761375
76	795140
77	829910
78	865700
79	902525
80	940400
81	979340
82	1019360
83	1060475
84	1102700
85	1146050
86	1190540
87	1236185
88	1283000
89	1331000
90	1380200
91	1430615
92	1482260
93	1535150
94	1589300
95	1644725
96	1701440
97	1759460
98	1818800
99	1879475
100	1941500
