INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	商店名称	商店类型	修理等级	收购等级	RepairType(修理类型)	收购类型	修理花费	修理成功几率	Scale(价格系数)	Time(刷新时间)	Num(商品数量)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	PID(商品编号)	PNUM(每组多少个)	PMAX(有限商品的数量上限)
1	武器商店	0	40	100	1	1	1	1	1	100000	60	10100000	1	-1	10100001	1	-1	10101000	1	-1	10101001	1	-1	10102000	1	-1	10102001	1	-1	10103000	1	-1	10103001	1	-1	10104000	1	-1	10104001	1	-1	10105000	1	-1	10105001	1	-1	30300001	1	-1	30300011	1	-1	30300021	1	-1	30300031	1	-1	30300041	1	-1	30300051	1	-1	30506001	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
2	武器商店	0	40	100	1	1	1	1	1	100000	60	10110001	1	-1	10110002	1	-1	10110003	1	-1	10111001	1	-1	10111002	1	-1	10111003	1	-1	10112001	1	-1	10112002	1	-1	10112003	1	-1	10113001	1	-1	10113002	1	-1	10113003	1	-1	30301001	1	-1	30301002	1	-1	30301003	1	-1	30301004	1	-1	30507001	1	-1	30507011	1	-1	30507021	1	-1	30507031	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
3	武器商店	0	40	100	1	1	1	1	1	100000	60	10120001	1	-1	10121001	1	-1	10122001	1	-1	30302001	1	-1	30302011	1	-1	30302021	1	-1	30508001	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
4	武器商店	0	40	100	1	1	1	1	1	100000	60	30001001	1	-1	30001002	1	-1	30002001	1	-1	30002002	1	-1	30003001	1	-1	30003002	1	-1	30004001	1	-1	30004006	1	-1	30004011	1	-1	30004016	1	-1	30004021	1	-1	30005001	1	-1	30005006	1	-1	30005011	1	-1	30005013	1	-1	30005015	1	-1	30005017	1	-1	30303001	1	-1	30303004	1	-1	30303005	1	-1	30303006	1	-1	30303007	1	-1	30303008	1	-1	30303009	1	-1	30303010	1	-1	30303011	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
5	武器商店	0	40	100	1	1	1	1	1	100000	60	30101001	1	-1	30101002	1	-1	30101013	1	-1	30101014	1	-1	30102001	1	-1	30102005	1	-1	30102009	1	-1	30102013	1	-1	30102017	1	-1	30304001	1	-1	30304004	1	-1	30304010	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
6	武器商店	0	40	100	1	1	1	1	1	100000	60	10131001	1	-1	10131002	1	-1	10131003	1	-1	20301001	1	-1	20301002	1	-1	20301003	1	-1	20304001	1	-1	20304002	1	-1	20304003	1	-1	20304004	1	-1	20304017	1	-1	20304018	1	-1	20304019	1	-1	20304020	1	-1	20304021	1	-1	20304022	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
7	武器商店	0	40	100	1	1	1	1	1	100000	60	30602001	1	-1	30602002	1	-1	30603001	1	-1	30603002	1	-1	30604001	1	-1	30604002	1	-1	30605001	1	-1	30605002	1	-1	30601001	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
8	武器商店	0	40	100	1	1	1	1	1	3600000	60	20101001	1	20	20101002	1	20	20101003	1	20	20101004	1	20	20101005	1	20	20103001	1	20	20103002	1	20	20104001	1	20	20104002	1	20	20105001	1	20	20105002	1	20	20304005	1	20	20304006	1	20	20107001	1	20	20107002	1	20	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
11	防具商店	0	40	100	1	1	1	1	1	100000	60	10100002	1	-1	10100003	1	-1	10101002	1	-1	10101003	1	-1	10102002	1	-1	10102003	1	-1	10103002	1	-1	10103003	1	-1	10104002	1	-1	10104003	1	-1	10105002	1	-1	10105003	1	-1	30300002	1	-1	30300003	1	-1	30300012	1	-1	30300013	1	-1	30300022	1	-1	30300023	1	-1	30300032	1	-1	30300033	1	-1	30300042	1	-1	30300043	1	-1	30300052	1	-1	30300053	1	-1	30506011	1	-1	30506021	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
