INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	STRING
ID	策划专用ID	效果的简要逻辑说明	等级限制	金钱	技能逻辑ID	冷却时间	聚气时间(ms)	引导时间(ms)	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	条件或消耗参数说明	条件和消耗逻辑	条件或消耗参数值	条件或消耗参数值	目标级别	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	技能描述（FOR TIP）	技能描述（FOR Interface）
0	0	普通攻击	-1	100	0	1300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	0	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1												-1					有效距离：2米#r瞬间释放#r#cFF6600自动连续释放	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放
1	0	捕宠	-1	100	10	1300	15000	-1		-1				-1				-1			-1			生效一次的附加效果1	100																		-1					捕捉宠物	捕捉宠物
2	0	宠物出战	-1	100	11	1300	10000	-1		-1				-1				-1			-1			无																			-1					召唤宠物	召唤宠物
3	0	系统预留	-1	100	0	1300	-1	-1		-1				-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
4	0	系统预留	-1	100	0	1300	-1	-1		-1				-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
5	0	系统预留	-1	100	0	1300	-1	-1		-1				-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
6	0	系统预留	-1	100	0	1300	-1	-1		-1				-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
7	0	系统预留	-1	100	0	1300	-1	-1		-1				-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
8	0	系统预留	-1	100	0	1300	-1	-1		-1				-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
9	0	系统预留	-1	100	0	1300	-1	-1		-1				-1				-1			-1			生效一次的附加效果1	-1	引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1																	系统预留	系统预留
#	#	分隔符	-1	100	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
101	0	标准吃药	-1	100	0	10000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	标准吃药	标准吃药
102	0	标准吃食物	-1	100	0	1300	-1	20000		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	标准吃食物	标准吃食物
103	0	标准引导吃药	-1	100	0	10000	-1	10000		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	标准引导吃药	标准引导吃药
104	0	标准聚气乘骑	-1	100	0	3000	3000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	标准聚气乘骑	标准聚气乘骑
105	0	标准使用配方	-1	100	0	1300	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	标准使用配方	标准使用配方
106	0	标准喂养宠物	-1	100	0	1300	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																		
107	0	标准使用物品	-1	100	0	1300	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	瞬发使用物品	瞬发使用物品
108	0	标准聚气乘骑	-1	100	0	3000	3000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	标准聚气乘骑	标准聚气乘骑
241	1	初级外防	-1	100	0	1300	-1	-1	消耗%mp	5	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	101	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																	消耗气:10%#r瞬间释放#r状态 外功防御加10点 持续60秒	消耗气:10%#r瞬间释放#r状态 外功防御加10点 持续60秒
