INT	INT	STRING	STRING	STRING
心法ID	门派ID	心法名称	心法描述	心法图标
1	0	金刚经	全称金刚般若波罗密心经，为少林弟子必修的功夫，学习后可使人拈花微笑，心宁气静。	XinFa1_1
2	0	法华经	是使人增加智慧的不二法门，修习后六识通，可以洞察天地间无穷的法义。	XinFa1_2
3	0	易筋经	乃是达摩祖师所创的心法，修习后可达到强身健体，灵台清明的作用。	XinFa1_3
4	0	大光明经	大乘佛法中的上乘佛学，修学后可明白芸芸众生，苦海无边，回头是岸的道义。	XinFa1_4
5	0	地藏经	以地藏之隐忍之道，使人将七情中的忿怒，转化为伏魔之力。	XinFa1_5
6	0	宝威经	以佛法七宝，提升少林弟子对器械、装备的专精能力以提高威力的妙义法门。	XinFa1_6
7	1	七伤拳	名为七伤，实则为每出一拳可以有七种不同真气，使人不知如何与之相抗，拳出必伤。	XinFa1_7
8	1	吸星大法	吸人功力为己用，虽能提高自身公里，然而所吸功力不时反扑己身，实则危险至极。	XinFa1_8
9	1	乾坤大挪移	明教护法神功，主旨在于引发体内潜能，精深无比，复杂无比。	XinFa1_9
10	1	九阳神功	原是少林寺楞伽经的道家内功，至刚至阳，后传入明教。	XinFa1_10
11	1	葵花宝典	宦官所作，虽博大精深，但凶险之极。	XinFa1_11
12	1	圣火令法	载于明教圣火令上的武功，看似旁门左道，实则可提升明教教众对武器、装备的契合力。	XinFa1_12
13	2	逍遥游	丐帮的入门功夫,身法轻灵飘逸。	XinFa1_13
14	2	降龙十八掌	丐帮镇帮神技,招式简单,刚劲天下第一，化绵厚内力为掌力，爆发力巨大，愈战愈勇，逢强愈强。	XinFa1_14
15	2	擒龙功	出其不意，极快出招，极力约束着内力，能凌空取物，可在四五丈外夺人兵器，取人首级。	XinFa1_15
16	2	打狗棒法	丐帮开帮祖师爷所创，唯有丐帮帮主有资格学，分为劈、挑、缠、封、戳、转、引、绊八式。	XinFa1_16
17	2	破虏令	扬花舞,马上传书,万代争唱破虏令。曲子雄浑高亢，可以将人愤怒阴沉的心情化为无形的杀气。	XinFa2_1
18	2	沾衣十八跌	源于少林睡罗汉拳法，借力打力，四两拔千斤是其精髓，使用之时犹如棉里藏针,打的越狠,反弹的伤害越大	XinFa2_2
19	3	阴阳诀	阴阳和合，阴极生阳，阳极生阴。武当的入门心法，气通丹田，神清气朗。	XinFa2_3
20	3	两仪心法	易有太极,是生两仪,两仪生四象,四象生八卦。武当派独门内功，能增加发招速度。	XinFa2_4
21	3	乱环诀	乱环求法最难通,上下相合妙无穷。没有固定招术，手脚上下相随,左右相合,随机而动，避实击虚。	XinFa2_5
22	3	太极神功	武当的高级心法，可融入其他任何武功，招式圆转如意，以深厚的内力给对方沉重的打击。	XinFa2_6
23	3	天人决	非常奇妙的功法，把自己的修炼和天地的能量相平，,吸收自然的力量为己用。	XinFa2_7
24	3	真龙剑诀	武当的顶级神功，分为:一元诀、两仪诀、三才诀、四象诀、五行诀、六合诀和七星诀，威力巨大无比。	XinFa2_8
25	4	控鹤功	原为丐帮武功，后传入峨嵋，能将人、物拉至己身，神奇不已。	XinFa2_9
26	4	神照经	一种极为深奥的武功心法，真气随意控制在体内流动，可自行疗伤、解穴等。	XinFa2_10
27	4	洗髓经	侧重于内功的修炼,真气可以在体内循回而生生不息,用掌发出,克敌时可伤人肺腑。	XinFa2_11
