INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	6	24.1842	56.3741
2	6	45.2118	44.0319
3	6	57.1805	44.8555
4	6	35.2667	81.8907
5	6	80.0275	48.1023
6	6	87.8534	48.2037
7	6	93.3505	97.0259
8	6	97.1025	100.3444
9	6	107.0595	85.3439
10	6	125.5458	79.2592
11	6	134.6540	54.8487
12	6	117.0725	46.6928
13	6	147.2562	51.6389
14	6	211.0805	63.8205
15	6	232.8621	63.9117
16	6	245.5268	55.1775
17	6	268.3226	38.4590
18	6	263.8866	59.0984
19	6	263.7649	80.8926
20	6	269.4265	109.7413
21	6	285.4479	137.2300
22	6	281.2422	162.3610
23	6	262.4617	160.9653
24	6	230.1599	177.1911
25	6	225.0061	179.5167
26	6	196.3907	186.0052
27	6	201.2059	189.7834
28	6	181.3191	218.7651
29	6	179.3702	232.7394
30	6	223.7178	238.5310
31	6	275.0751	264.7725
32	6	284.1747	277.6553
33	6	256.1498	281.5999
34	6	238.5542	282.8827
35	6	192.8527	279.6163
36	6	187.1386	273.9421
37	6	179.7308	244.5173
38	6	133.0070	287.6465
39	6	118.2049	288.5726
40	6	32.6035	225.8063
41	6	42.7309	222.7070
42	6	65.4076	208.2259
43	6	53.2261	197.8139
44	6	46.7865	142.9140
45	6	51.8163	133.6006
46	6	34.0646	137.5453
47	6	37.8696	134.8862
48	6	68.6660	119.9474
49	6	74.5665	116.7984
50	6	34.9288	97.2700
51	6	141.5027	133.8632
52	6	95.1928	163.5520
53	6	82.9243	140.3034
54	6	160.7045	107.6526
55	6	193.6098	84.7226
56	6	209.0576	153.7018
57	6	170.5598	155.5396
58	6	224.0211	152.8050
59	6	223.4306	133.2908
60	6	255.6113	236.4496
61	6	251.3743	238.0119
62	6	270.7130	237.2028
63	6	274.7408	240.1944
64	6	253.9089	247.2705
65	6	275.0142	256.7392
66	6	183.9767	272.5673
67	6	152.2988	157.8039
68	6	139.4742	152.6041
69	6	132.3859	199.9540
70	6	95.6515	213.8155
71	6	156.7387	66.9959
72	6	126.1873	151.5934
73	6	99.0040	112.9737
74	6	88.5648	118.8640
75	6	208.4494	42.8237
76	6	54.1270	196.4355
77	6	56.3671	218.1405
78	6	78.3072	195.1075
79	6	92.4837	204.2590
80	6	109.5699	193.5986
81	6	97.4876	175.5279
82	6	49.4045	154.7430
83	6	177.2558	139.2545
84	6	183.7863	119.7242
85	6	239.1876	115.8463
86	6	219.9558	112.4289
87	6	167.8020	87.0255
88	6	141.6122	169.8758
89	6	139.5550	171.1946
90	6	182.3107	169.6647
91	6	182.0007	159.4579
92	6	174.5719	161.3258
93	6	183.7957	210.3568
94	6	187.5194	202.2714
95	6	221.5305	223.2307
96	6	229.4037	224.8167
97	6	216.7397	213.4374
98	6	220.7069	194.3572
99	6	223.4851	186.4750
100	6	219.6174	191.9906
101	110	265.7746	176.4644
102	110	268.4649	182.4771
103	110	272.9108	202.2490
104	110	258.3563	208.1460
105	110	240.1348	188.2345
106	110	229.3671	203.2398
107	110	255.8076	234.0894
108	110	276.6812	251.2657
109	110	273.6892	247.2149
110	110	227.7301	279.5518
111	110	223.6375	276.3745
112	110	221.7203	264.7581
113	110	194.8008	272.0050
114	110	193.1494	262.9347
115	110	184.1938	266.5999
116	110	161.4122	214.0530
117	110	164.4395	211.4768
118	110	141.5495	212.3060
119	110	141.7808	208.8175
120	110	138.2776	196.7930
121	110	139.8131	175.9857
122	110	140.9492	173.4169
123	110	156.8614	173.0334
124	110	155.3795	166.8479
125	110	157.6513	166.9277
126	110	166.7500	165.1886
127	110	194.7125	148.8933
128	110	190.1238	145.2718
129	110	188.8241	140.2840
130	110	183.8079	140.3833
131	110	179.8275	132.7169
132	110	183.4373	129.2838
133	110	148.9267	153.5061
134	110	141.5730	151.6479
135	110	145.7344	146.6736
136	110	56.5417	47.8604
137	110	53.1325	47.2896
138	110	55.2001	53.2281
139	110	60.0048	52.7519
140	110	63.5608	44.0184
141	110	63.6847	48.4819
142	110	70.2988	47.5847
143	110	85.5510	69.3666
144	110	86.2592	62.9797
145	110	88.3120	62.8547
146	110	88.5392	68.6542
147	110	92.5130	72.5465
148	110	110.9072	60.7577
149	110	116.8719	62.3821
150	110	141.5359	112.3051
151	110	136.5289	115.1820
152	110	152.4326	47.6540
153	110	162.9106	50.3420
154	110	160.8715	54.2986
155	110	276.6595	40.7071
156	110	279.5722	36.2732
157	110	281.3396	41.4254
158	110	205.0996	101.3368
159	110	204.5255	106.5786
160	110	198.7377	100.7046
161	112	52.3339	128.1492
162	112	63.5641	125.6225
163	112	54.6840	95.4787
164	112	92.2517	85.1869
165	112	86.2054	109.7939
166	112	70.8227	195.8124
167	112	142.6836	227.6577
168	112	157.5346	226.3625
169	112	232.1141	241.4507
170	112	205.3990	188.2180
171	112	247.4649	218.4510
172	112	281.5454	144.1921
173	112	219.0376	156.3964
174	112	173.8142	133.4545
175	112	189.9111	104.4320
176	112	115.2748	195.8895
177	112	110.8294	164.3198
178	112	233.8206	152.5514
179	112	258.1369	177.8897
180	112	263.1224	119.7150
181	114	126.1251	63.1795
182	114	97.0237	51.5108
183	114	35.0487	58.1968
184	114	50.4224	117.0211
185	114	66.9440	160.8282
186	114	112.8322	207.3931
187	114	94.5774	270.7194
188	114	163.1538	269.5738
189	114	131.4198	277.1538
190	114	202.6137	260.7338
191	114	199.6423	248.4060
192	114	248.3912	263.2006
193	114	255.3035	226.7708
194	114	259.1926	184.7216
195	114	249.5956	161.8543
196	114	180.0329	152.3481
197	114	81.1961	96.6065
198	114	46.8580	119.5943
199	114	132.5729	229.0617
200	114	215.0295	220.8326
201	206	219.5444	100.7704
202	206	206.2410	91.3319
203	206	208.2573	82.9471
204	206	211.5398	73.5844
205	206	221.3473	75.3903
206	206	170.6680	39.9396
