INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	8	220.6420	43.4975
2	8	194.5307	55.2108
3	8	220.9992	51.1239
4	8	239.8504	53.9725
5	8	237.9043	60.4735
6	8	233.2455	59.9316
7	8	246.8686	60.9992
8	8	259.3476	58.3060
9	8	247.4808	70.8368
10	8	249.2985	79.9730
11	8	258.8080	138.4491
12	8	259.4163	135.9241
13	8	252.2027	109.3596
14	8	276.4425	221.2596
15	8	267.1333	227.5228
16	8	168.5148	267.2750
17	8	182.5347	242.7949
18	8	143.0653	256.5909
19	8	38.8300	213.2898
20	8	42.2409	216.9593
21	8	58.2548	216.5857
22	8	62.5360	213.2025
23	8	60.1116	194.4385
24	8	68.7338	185.5682
25	8	47.7675	186.1423
26	8	35.3287	121.0577
27	8	35.4812	110.0179
28	8	48.5834	112.9402
29	8	47.6748	101.4270
30	8	60.9089	96.9832
31	8	35.0370	101.4529
32	8	49.6543	71.6909
33	8	52.4409	61.5985
34	8	79.4920	46.0020
35	8	87.3208	54.7223
36	8	54.8219	36.5334
37	8	60.0941	35.6102
38	8	86.6844	34.6017
39	8	92.9418	38.1482
40	8	99.8052	43.3214
41	8	80.3594	73.1206
42	8	104.9000	109.6802
43	8	184.6864	119.0920
44	8	136.9369	115.1464
45	8	168.1893	85.9267
46	8	211.3832	129.8463
47	8	272.7602	87.0259
48	8	268.1445	118.3936
49	8	280.2806	144.8031
50	8	216.4437	191.1015
51	8	242.3766	193.6438
52	8	267.0736	203.6385
53	8	252.4744	227.0784
54	8	228.5769	230.8786
55	8	280.1128	279.6868
56	8	256.3297	287.9568
57	8	225.8094	283.6129
58	8	194.1750	283.4294
59	8	198.7196	261.3039
60	8	159.0624	290.6772
61	8	119.4391	277.3938
62	8	48.1214	273.2731
63	8	79.7595	236.5712
64	8	84.7271	213.4224
65	8	110.5804	190.1690
66	8	219.5379	275.7644
67	8	223.0883	269.9833
68	8	199.7323	80.5879
69	8	139.8732	79.0193
70	8	114.5578	67.1322
71	49	173.4331	249.3927
72	115	223.7853	131.7941
73	115	283.3079	103.7463
74	115	282.2179	123.8279
75	115	271.0839	152.8085
76	115	261.3188	37.8704
77	115	243.4064	52.8631
78	115	214.6626	52.0560
79	115	152.1518	57.5373
80	115	93.0590	53.5494
81	115	50.1596	69.3709
82	115	63.2110	89.7090
83	115	37.2589	106.2283
84	115	78.4755	165.0695
85	115	52.3009	178.6880
86	115	40.0898	223.4847
87	115	112.2810	272.4919
88	115	130.0001	280.4121
89	115	258.9995	305.5266
90	115	249.0841	305.6759
91	115	293.9917	305.3396
92	116	276.1461	266.7966
93	116	260.8350	262.7533
94	116	283.1322	225.1556
95	116	279.1012	65.2871
96	116	235.9706	49.5736
97	116	225.6290	102.4046
98	116	165.1460	83.2139
99	116	180.3982	112.3966
100	116	136.3618	120.3031
101	116	104.7975	105.4413
102	116	73.5999	96.8928
103	116	86.3797	60.4571
104	116	41.9391	52.8238
105	116	45.8280	112.8833
106	116	50.5028	187.2295
107	116	81.1539	175.3323
108	116	42.5970	225.6087
109	116	39.9610	283.1307
110	116	72.2453	284.6850
111	116	128.3497	275.8633
112	117	81.9715	44.3917
113	117	88.3771	69.5849
114	117	68.7225	83.1426
115	117	81.0267	85.0927
116	117	77.5937	95.5007
117	117	48.4615	82.2117
118	117	38.0544	56.6943
119	117	45.6631	85.9531
120	117	35.9405	128.4148
121	117	57.9005	181.1781
122	117	46.8744	182.7681
123	117	35.6689	281.3179
124	117	86.8791	165.7065
125	117	74.5081	168.7802
126	117	77.1759	149.3366
127	117	132.7027	43.6921
128	117	205.3999	51.7688
129	117	236.7266	52.1093
130	117	254.6684	58.2255
131	117	279.9574	49.4314
132	117	274.0561	63.9671
133	117	266.0090	71.5439
134	117	245.3887	76.2828
135	117	257.3619	131.9285
136	117	275.2758	216.4443
137	117	264.7223	211.8703
138	117	270.1929	211.8620
139	117	279.6393	258.6295
140	117	270.8130	256.0078
141	117	251.0978	257.6693
142	117	255.1916	258.0995
143	117	262.4612	262.5161
144	117	260.0853	261.2746
145	117	171.9573	252.4291
146	117	175.6435	251.1383
147	117	140.4208	254.7966
148	117	62.0831	91.5527
149	117	51.0304	95.0105
150	117	164.9402	128.6892
151	117	145.5666	134.2011
152	117	146.0233	133.6378
153	117	133.1623	129.9792
154	117	133.7643	129.5936
155	117	127.3047	159.7232
156	117	128.1822	158.7405
157	117	148.2150	67.8469
158	117	149.4416	67.6127
159	117	91.3321	58.9266
160	117	91.9997	58.5956
161	117	97.8707	53.9905
162	117	99.5262	54.1545
163	117	61.2953	75.7058
164	117	61.7374	75.3152
165	117	38.4191	56.3140
166	117	39.0618	41.0111
167	117	39.4186	40.4911
168	117	173.7847	59.2746
169	117	174.5149	59.1565
170	117	163.3182	55.4678
171	117	222.3850	131.3069
172	208	177.9334	48.5001
173	208	182.8927	65.1402
174	208	228.2275	69.9017
175	208	257.7490	172.4094
176	208	236.7457	169.6092
177	208	242.0621	146.1816
