INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	10	37.5465	77.4116
2	10	36.8093	90.4763
3	10	81.0360	94.7407
4	10	55.9672	105.2228
5	10	39.5859	128.1009
6	10	40.4427	114.2757
7	10	47.3417	151.6999
8	10	40.1372	164.1817
9	10	52.2362	135.4021
10	10	71.8414	156.9706
11	10	41.7618	215.5572
12	10	74.4239	220.8950
13	10	101.2942	217.7937
14	10	133.2844	201.0510
15	10	134.7212	195.4066
16	10	137.2578	186.1125
17	10	142.6038	169.6635
18	10	110.8758	159.5006
19	10	99.2405	156.5542
20	10	164.9347	193.4008
21	10	131.5688	256.1790
22	10	159.3087	246.7148
23	10	155.9685	255.2313
24	10	172.2081	279.2866
25	10	185.1435	280.4513
26	10	199.6199	273.8291
27	10	203.7145	276.1775
28	10	197.2861	258.0073
29	10	228.8982	280.6430
30	10	226.3777	282.2769
31	10	229.5394	272.4164
32	10	235.5809	262.5261
33	10	261.9474	284.5167
34	10	246.5768	273.6734
35	10	270.7358	262.0197
36	10	249.9873	254.4860
37	10	282.8355	261.3895
38	10	283.9583	252.6877
39	10	261.7513	246.1755
40	10	246.5237	229.6051
41	10	258.7185	206.3730
42	10	259.1317	190.0816
43	10	259.0145	183.9094
44	10	267.6722	174.6014
45	10	268.6111	161.8549
46	10	282.3293	147.6930
47	10	272.3042	142.1409
48	10	256.2010	142.4830
49	10	244.6229	172.2242
50	10	216.2616	120.9286
51	10	247.2100	100.3140
52	10	263.1608	78.6790
53	10	282.8168	89.7622
54	10	271.4307	45.9620
55	10	276.0874	39.3567
56	10	281.9110	43.9549
57	10	264.1557	47.2249
58	10	213.9815	46.3845
59	10	192.6343	53.8384
60	10	204.8977	66.8039
61	10	204.7954	79.7797
62	10	188.9148	74.5761
63	10	181.6272	56.1964
64	10	176.1671	45.3775
65	10	164.0038	37.7754
66	10	117.9693	75.7706
67	10	115.6027	80.2064
68	10	98.3873	86.5602
69	10	94.9058	92.6411
70	10	89.6450	119.9481
71	10	97.4811	126.6690
72	10	91.4940	82.2440
73	10	108.9595	73.8811
74	10	114.4274	51.8254
75	10	111.8503	42.6599
76	11	59.0922	282.9902
77	11	76.8543	277.9067
78	11	106.0973	283.1516
79	11	117.4385	281.9408
80	11	140.4531	273.8723
81	11	171.5407	277.5234
82	11	189.0311	258.4362
83	11	238.7705	258.3988
84	11	224.5804	214.1875
85	11	282.5438	127.8012
86	11	282.5251	103.0114
87	11	214.2650	63.7300
88	11	130.1285	46.4684
89	11	120.7222	62.3287
90	11	109.0589	69.7054
91	11	99.7823	57.1253
92	11	65.5363	62.8078
93	11	65.7692	40.5790
94	11	42.7450	76.5579
95	11	69.7954	140.0451
96	11	51.7040	189.6332
97	11	45.4837	235.0950
98	11	89.8818	207.4275
99	11	110.0544	210.7911
100	11	124.0705	211.4225
101	51	115.0517	52.0255
102	119	47.5041	264.4545
103	119	68.6725	278.4901
104	119	86.5597	251.8645
105	119	92.3949	277.2302
106	119	117.0788	280.2057
107	119	124.3654	248.0375
108	119	129.8011	271.7560
109	119	142.3517	273.4015
110	119	150.7402	248.9386
111	119	158.3962	251.6534
112	119	145.1593	238.7094
113	119	134.1381	218.5312
114	119	166.6794	222.7466
115	119	170.2291	239.4704
116	119	174.9594	216.3523
117	119	164.0121	171.1248
118	119	194.6518	200.7849
119	119	199.3432	228.2905
120	119	195.9418	248.9949
121	119	219.0074	257.9338
122	119	212.5943	265.4521
123	119	250.3463	282.1453
124	119	250.0304	282.6516
125	119	267.1802	283.2572
126	119	266.6446	283.6871
127	119	277.1901	265.3129
128	119	274.2857	256.1482
129	119	273.7032	255.6219
130	119	283.1303	245.4382
131	119	282.0506	245.0166
132	119	255.6857	234.8181
133	119	255.2886	235.5321
134	119	248.2959	189.3529
135	119	248.4261	191.1978
136	119	264.6065	168.7796
137	119	264.4766	169.3559
138	119	278.4922	158.9464
139	119	277.1520	158.6356
140	119	268.3558	142.8400
141	119	267.0361	142.8979
142	119	262.9926	114.1578
143	119	261.7221	116.0916
144	119	258.1919	100.1137
145	119	256.9404	98.3543
146	119	280.4723	82.5415
147	119	280.0748	82.6147
148	119	272.5611	38.4002
149	119	272.4583	40.6393
150	119	225.4176	74.5706
151	119	222.9421	71.7772
152	119	185.0372	68.9108
153	119	184.0234	66.8293
154	119	170.7544	52.5692
155	119	168.7507	54.1117
156	119	164.6150	51.2501
157	119	133.6685	37.7102
158	119	135.1922	54.4894
159	119	120.5352	83.6680
160	119	141.7809	90.8708
161	119	106.2792	87.3905
162	121	113.4987	99.7881
163	121	62.0347	98.8685
164	121	82.6545	92.8923
165	121	73.7301	70.1566
166	121	38.2942	76.6985
167	121	37.7416	120.8588
168	121	56.5634	115.6162
169	121	38.8966	159.4541
170	121	45.7270	162.5465
171	121	47.4526	168.8541
172	121	50.2784	218.5309
173	121	58.6050	207.4867
174	121	91.1686	210.7837
175	121	100.5269	207.0800
176	121	125.7537	205.6472
177	121	222.5110	280.9450
178	121	220.0722	273.0409
179	121	231.1281	204.7742
180	121	225.1153	181.9545
181	121	197.4918	169.1795
