INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	2	76.2145	42.2999
2	2	88.0231	29.8177
3	2	93.7237	82.5319
4	2	131.1261	39.2718
5	2	125.3088	50.6517
6	2	158.8446	33.2413
7	2	179.0130	32.9509
8	2	185.7871	71.5187
9	2	205.7613	35.0240
10	2	225.4866	37.5190
11	2	251.2320	52.6377
12	2	285.7244	37.3446
13	2	281.3428	69.5964
14	2	270.0600	87.2143
15	2	229.8224	94.4317
16	2	258.9084	126.7023
17	2	220.7377	115.9597
18	2	283.1089	161.8188
19	2	251.8121	182.3057
20	2	227.9663	164.9760
21	2	239.3146	213.2271
22	2	266.9471	235.2771
23	2	260.3298	267.9738
24	2	238.6338	254.6105
25	2	214.9231	233.2287
26	2	154.9726	213.5084
27	2	125.6090	207.2418
28	2	144.7548	209.8959
29	2	121.6786	262.5714
30	2	97.2390	278.1711
31	2	114.0495	284.5403
32	2	149.0937	285.3921
33	2	154.1398	264.5478
34	2	70.4058	285.0696
35	2	51.8062	262.8643
36	2	93.9333	228.4115
37	2	82.6323	228.0693
38	2	95.1505	215.6446
39	2	89.1942	207.5111
40	2	109.9321	205.2345
41	2	99.2925	199.0171
42	2	45.9540	243.5062
43	2	38.4794	228.4192
44	2	56.5217	227.8396
45	2	58.1987	215.1206
46	2	45.2793	209.2932
47	2	46.7521	191.8842
48	2	132.9154	186.3147
49	2	106.0737	184.3003
50	2	96.5454	153.4554
51	2	34.5738	160.2810
52	2	37.3637	143.6436
53	2	37.1399	139.9870
54	2	42.2629	139.3686
55	2	36.8389	115.2803
56	2	38.4352	96.7780
57	2	49.5979	94.1031
58	2	50.0771	79.0974
59	2	126.5312	88.7151
60	2	151.3774	90.3842
61	2	176.0625	93.2977
62	2	196.2246	94.7189
63	2	211.1771	102.1248
64	2	212.1184	95.2098
65	2	202.7765	104.1503
66	2	217.4448	106.1057
67	2	193.1445	150.9695
68	2	180.1100	137.8164
69	2	224.1774	159.1877
70	2	152.4957	164.9342
71	2	178.4635	156.4748
72	2	144.3760	151.2281
73	2	214.4137	73.5590
74	2	240.1169	78.5020
75	2	248.8090	60.3865
76	2	254.3566	167.6505
77	2	245.4333	175.4194
78	2	235.1500	162.4462
79	2	243.6912	206.8249
80	2	257.8329	204.6887
81	2	223.3421	216.1870
82	2	212.7955	203.6326
83	2	206.8780	187.0706
84	2	204.9087	185.2555
85	2	191.6200	253.3190
86	2	185.3503	249.3551
87	2	164.6114	242.5909
88	2	153.7533	235.4277
89	2	175.4574	236.6812
90	2	168.0228	230.8991
91	2	184.4685	215.4621
92	2	180.4379	225.7489
93	2	192.5065	219.0645
94	2	284.1671	166.2415
95	2	283.2385	174.4984
96	2	282.5293	179.3533
97	2	252.3869	160.3401
98	2	243.7288	159.1441
99	2	232.0642	156.6906
100	2	238.1309	141.6917
101	103	137.4380	74.5697
102	103	123.3207	94.6181
103	103	67.3565	126.5770
104	103	55.0572	118.0737
105	103	49.2854	140.7634
106	103	61.8319	164.4315
107	103	92.7587	210.3405
108	103	83.5931	229.6264
109	103	42.0701	241.7968
110	103	86.0400	292.2064
111	103	113.3960	286.9557
112	103	142.9959	283.9558
113	103	175.8256	278.7838
114	103	182.3836	257.5263
115	103	260.6046	261.0171
116	103	235.8698	236.8169
117	103	183.0191	175.1111
118	103	253.2525	166.0556
119	103	215.1838	150.0265
120	103	190.3996	91.9626
121	104	265.2905	41.8812
122	104	237.5263	67.0901
123	104	215.7044	61.8074
124	104	181.8391	63.3959
