INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	6	162.7982	275.4450
2	6	148.5631	282.1620
3	6	149.7425	277.0974
4	6	144.9451	276.6235
5	6	122.9182	285.2423
6	6	87.6605	274.2406
7	6	86.4848	278.2328
8	6	95.1445	288.2993
9	6	66.4426	283.9998
10	6	67.7641	274.7300
11	6	70.5100	265.9510
12	6	74.7651	261.4468
13	6	83.3966	252.8438
14	6	50.6732	283.9558
15	6	58.9160	271.6055
16	6	70.9059	254.3032
17	6	43.9026	239.0804
18	6	55.2237	231.3904
19	6	63.2405	206.1251
20	6	59.5287	220.9179
21	6	41.5763	205.8326
22	6	50.9010	200.2913
23	6	40.6888	168.4186
24	6	59.3692	177.7873
25	6	49.7091	129.8868
26	6	48.9444	119.2985
27	6	42.5966	93.5261
28	6	47.7057	92.7435
29	6	39.3067	50.3486
30	6	41.3512	48.5703
31	6	44.2603	47.9447
32	6	60.2137	51.9387
33	6	67.1482	61.6933
34	6	71.0328	64.9555
35	6	91.8378	105.4074
36	6	122.6481	110.7649
37	6	141.9970	118.8303
38	6	140.7658	131.4488
39	6	97.3735	55.8053
40	6	87.6925	51.4178
41	6	95.2990	65.6890
42	6	116.9576	69.2438
43	6	119.6038	55.9748
44	6	121.3511	63.9727
45	6	116.1375	60.4405
46	6	117.7390	44.1591
47	6	153.0984	44.3538
48	6	150.2115	43.0781
49	6	144.3856	46.7061
50	6	163.4452	46.1585
51	6	172.7531	63.8424
52	6	169.9178	68.8516
53	6	185.6864	63.6836
54	6	184.9638	67.3496
55	6	162.8547	88.3092
56	6	158.7921	86.6288
57	6	181.3377	81.6430
58	6	182.2133	78.3006
59	6	197.3723	65.6436
60	6	195.0752	67.9212
61	6	270.4482	36.6266
62	6	260.4303	34.5634
63	6	280.2746	42.2724
64	6	271.4167	83.7723
65	6	271.9709	79.3443
66	6	253.3830	97.4088
67	6	269.7717	139.3488
68	6	232.7743	158.9256
69	6	218.9882	166.5693
70	6	219.0453	194.1394
71	6	196.4455	191.2699
72	6	151.1083	179.3419
73	6	133.7809	189.2388
74	6	142.0899	184.2828
75	6	164.6666	210.6054
76	7	230.9820	182.4232
77	7	220.3675	216.5761
78	7	241.1102	235.7153
79	7	254.9895	260.9632
80	7	198.2716	253.9065
81	7	207.7478	266.2576
82	7	200.1531	284.3645
83	7	164.5908	239.0786
84	7	190.0014	220.9329
85	7	118.8902	204.4077
86	7	116.0373	252.2467
87	7	134.0600	248.2250
88	7	254.5811	190.0823
89	7	278.7828	183.9547
90	7	242.2426	122.3434
91	7	183.2562	110.9027
92	7	124.6492	127.9532
93	7	77.5208	159.7065
94	7	78.8090	186.5549
95	7	98.7202	211.8162
96	112	131.1164	166.6878
97	112	124.5949	153.5885
98	112	151.0249	157.6332
99	112	114.7919	181.3953
100	112	148.3149	210.5924
101	112	167.1642	224.2384
102	112	177.2892	205.5639
103	112	150.6664	264.7732
104	112	140.4695	283.9951
105	112	134.3421	256.2850
106	112	108.6170	249.0834
107	112	52.0300	160.0176
108	112	60.6567	162.2992
109	112	70.5304	199.6985
110	112	65.8331	225.8309
111	112	47.9099	265.8347
112	112	64.5354	226.7639
113	112	33.9826	202.8424
114	112	37.6009	170.7793
115	112	54.5970	160.7460
116	113	83.0827	115.3621
117	113	53.6285	105.2196
118	113	110.5942	130.5551
119	113	150.4247	172.9183
120	113	110.5029	190.0659
121	113	77.4977	215.5034
122	113	55.5424	256.2346
123	113	94.7090	235.9790
124	113	114.9906	239.2121
125	113	132.1982	263.2826
126	113	160.7367	267.1317
127	113	176.5549	279.1635
128	113	267.4489	151.2196
129	113	259.4742	129.5739
130	113	249.1705	115.6826
131	113	243.3416	116.5539
132	113	238.5005	84.9361
133	113	253.6012	76.9561
134	113	253.6068	62.9528
135	113	133.2083	50.8210
136	114	107.3881	204.3345
137	114	121.4865	227.3896
138	114	126.8182	211.8240
139	114	137.4026	212.4217
140	114	93.2624	185.8011
141	114	98.5997	165.8132
142	114	116.3550	175.7178
143	114	41.8785	200.3798
144	114	49.4640	195.6328
145	114	65.8099	137.7102
146	114	82.2642	118.8177
147	114	106.9624	100.6428
148	114	136.6305	111.2748
149	114	152.6355	129.3995
150	114	153.1781	112.9988
151	114	171.1699	125.6825
152	114	178.7751	75.2366
153	114	175.9025	91.5864
154	114	190.4068	111.9559
155	114	196.3793	72.5841
156	114	214.4695	90.4682
157	114	210.7982	114.5172
158	114	256.7370	84.2210
159	114	245.4742	104.0357
160	114	257.2734	128.2540
161	114	260.5121	166.3638
162	114	249.7162	179.1819
163	114	268.2857	195.9693
164	114	253.9556	223.3890
165	114	216.9206	199.9029
166	114	206.2729	210.7394
167	114	201.3950	228.4553
168	114	228.7514	247.8836
169	114	216.8566	258.6979
170	114	133.8141	278.2553
171	114	118.4671	271.3317
172	114	123.7999	257.7582
173	114	91.4809	280.3469
174	114	85.4915	265.1739
175	114	72.7545	277.6623
176	114	67.3872	268.1221
177	114	54.7596	272.9488
178	114	68.1763	242.5846
179	114	77.4414	239.0395
180	114	45.8831	231.3466
181	114	54.6622	226.3587
182	114	67.4287	222.2535
183	114	71.7096	213.9934
184	114	40.5958	202.0142
185	114	53.6887	195.4229
186	114	71.6487	162.2785
187	114	59.1035	145.3708
188	114	74.5287	128.2597
189	114	87.9303	144.1577
190	114	89.3588	154.0767
191	114	98.1194	155.4603
192	114	111.9895	172.9371
193	114	122.9684	162.2615
194	114	115.4947	152.4238
195	114	108.4812	143.7990
196	206	278.2533	184.0997
197	206	260.2766	187.4637
198	206	244.2544	207.7449
199	206	241.6459	209.3545
200	207	203.4870	253.2051
