INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	11	32.2305	271.2807
2	11	45.0332	254.1333
3	11	55.1921	262.5457
4	11	56.9777	270.2050
5	11	62.8809	285.3803
6	11	78.4164	228.3816
7	11	72.2577	233.3779
8	11	34.0276	249.1499
9	11	43.4382	241.7552
10	11	32.3799	236.7395
11	11	39.4744	190.6436
12	11	52.4683	194.8545
13	11	34.2142	145.9564
14	11	32.9042	155.6719
15	11	95.3460	157.7791
16	11	106.9685	156.6764
17	11	37.5377	122.9503
18	11	41.1946	133.3498
19	11	63.0755	111.3163
20	11	36.2964	116.4420
21	11	40.3541	113.0287
22	11	83.1323	92.4455
23	11	32.7734	86.2176
24	11	45.0106	89.1331
25	11	78.6613	75.0976
26	11	27.4026	72.4717
27	11	64.1808	77.8997
28	11	63.7457	74.0404
29	11	42.0990	31.1076
30	11	35.9148	32.3774
31	11	47.1015	38.8470
32	11	44.6513	50.1429
33	11	100.9223	62.7046
34	11	101.7109	74.3661
35	11	110.4969	95.7919
36	11	124.2237	95.1924
37	11	134.9068	81.3063
38	11	169.4188	34.0536
39	11	169.9040	63.1530
40	11	197.3053	62.1268
41	11	236.3521	54.5633
42	11	203.1205	77.2094
43	11	192.2303	75.9538
44	11	188.4816	92.2712
45	11	207.6917	106.3010
46	11	257.4033	56.2179
47	11	252.8609	94.9304
48	11	246.6822	98.7374
49	11	221.7460	121.7906
50	11	186.3012	130.7042
51	11	197.2519	126.5888
52	11	208.6419	160.5609
53	11	207.1778	156.6195
54	11	233.2644	119.7841
55	11	244.2126	125.8940
56	11	290.8846	107.9116
57	11	276.5044	129.9800
58	11	231.1688	203.0331
59	11	235.0692	212.4644
60	11	285.1054	205.7099
61	11	241.8053	239.5750
62	11	264.4103	220.4116
63	11	236.0864	282.5017
64	11	240.4749	270.4518
65	11	286.8676	288.7160
66	11	193.5714	277.3960
67	11	193.6392	265.7621
68	11	190.2046	252.2920
69	11	158.6627	239.7707
70	11	149.5071	270.6935
71	11	133.3104	269.5488
72	11	123.6321	287.1960
73	11	105.9330	273.1613
74	11	100.6902	216.7369
75	11	119.5219	173.9574
76	12	111.6747	138.5941
77	12	107.2372	135.6221
78	12	73.4085	150.5233
79	12	34.7895	152.2010
80	12	67.4006	111.6773
81	12	133.1881	197.1041
82	12	173.1299	229.3992
83	12	194.6688	260.9258
84	12	199.2703	270.7084
85	12	236.4338	277.4604
86	12	278.1111	291.9087
87	12	269.2411	240.9758
88	12	234.2568	200.6629
89	12	257.3655	205.7950
90	12	257.1432	211.8573
91	12	275.7560	194.1327
92	12	284.4873	170.5743
93	12	271.5067	166.8079
94	12	253.5706	129.9096
95	12	274.9233	68.9026
