INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	2	279.4420	124.8606
2	2	274.1772	123.6757
3	2	280.7241	140.5609
4	2	279.5382	148.3391
5	2	266.5066	101.4692
6	2	268.7543	97.1266
7	2	264.9333	106.2152
8	2	267.5296	70.6174
9	2	259.8932	73.0196
10	2	245.4650	83.4025
11	2	248.5140	75.1979
12	2	241.9626	77.4435
13	2	235.2000	91.8114
14	2	228.0673	91.0776
15	2	225.7045	84.9921
16	2	227.1929	62.8515
17	2	218.5060	64.9734
18	2	213.6730	72.8711
19	2	216.3219	80.6235
20	2	221.3239	82.8581
21	2	148.8853	46.1589
22	2	146.2050	39.9482
23	2	156.5513	34.1858
24	2	136.4884	84.0214
25	2	126.1344	86.2764
26	2	116.5780	84.6395
27	2	118.4756	92.3939
28	2	125.2189	92.0702
29	2	108.2309	86.2862
30	2	90.4290	88.5973
31	2	85.5552	86.4483
32	2	81.3685	88.7769
33	2	80.1770	95.0004
34	2	73.4778	92.7003
35	2	63.7109	102.0696
36	2	63.1280	108.6283
37	2	94.4464	114.4898
38	2	98.6355	115.3577
39	2	103.1407	116.1591
40	2	95.2616	121.4870
41	2	98.9497	122.8005
42	2	98.2416	109.5069
43	2	93.6703	109.4110
44	2	81.2996	116.0196
45	2	86.1400	127.2285
46	2	93.3326	127.5159
47	2	73.9026	132.8560
48	2	77.0745	142.1418
49	2	78.9813	155.6246
50	2	51.4520	229.0572
51	2	42.4049	245.5233
52	2	60.7904	261.3061
53	2	58.2356	254.1210
54	2	99.8191	271.2446
55	2	91.7688	256.4438
56	2	85.2028	245.6534
57	2	81.9088	239.4206
58	2	75.2300	227.0808
59	2	68.3684	218.4339
60	2	224.3416	212.5279
61	2	223.8604	198.5681
62	2	242.1968	183.3020
63	2	240.0590	178.9024
64	2	245.5537	178.6702
65	2	198.4505	217.9893
66	2	239.3576	199.0955
67	2	196.7906	258.0472
68	2	188.8330	232.1649
69	2	188.8810	227.1858
70	2	191.9136	168.8339
71	2	103.1039	252.8149
72	2	118.5870	192.9480
73	2	155.7867	143.6703
74	2	145.2661	130.9670
75	2	140.4636	130.7573
76	3	213.5729	78.6846
77	3	231.7807	111.9372
78	3	257.5132	120.6844
79	3	219.3105	158.8901
80	3	263.2599	193.3623
81	3	158.3717	210.5769
82	3	160.7845	240.8554
83	3	168.3661	256.3858
84	3	211.2801	267.3133
85	3	244.5830	257.2793
86	3	148.8296	228.4100
87	3	98.4949	242.0713
88	3	68.6943	283.2564
89	3	57.7738	282.1801
90	3	68.9059	273.5127
91	3	45.8728	216.6739
92	3	35.5380	223.9240
93	3	35.4542	236.1935
94	3	52.5535	181.1669
95	3	127.0379	181.3864
96	3	56.0866	155.9254
97	3	61.9485	131.3552
98	3	114.6428	89.9456
99	3	141.9918	122.1346
100	3	125.5314	110.4335
101	103	131.3508	84.7656
102	103	158.1752	88.0709
103	103	283.8380	81.7223
104	103	280.0566	82.9786
105	103	238.8131	64.9728
106	103	226.7364	71.9363
107	103	220.3173	90.7159
108	103	217.2860	87.4227
109	103	160.9354	76.6439
110	103	100.6342	84.2803
111	103	104.4688	87.9211
112	103	96.5620	100.3515
113	103	104.1609	107.7226
114	103	107.4447	107.5959
115	103	86.2334	110.6831
116	103	89.8935	109.0343
117	103	122.7178	186.4656
118	103	121.4841	188.1270
119	103	111.3324	179.5336
120	103	95.1271	229.0208
121	103	91.1820	227.9630
122	103	85.7640	220.2529
123	103	108.3989	260.1511
124	103	108.0645	264.8999
125	103	113.5144	281.2932
126	103	121.7887	283.8437
127	103	88.0885	272.3601
128	103	90.5342	271.6090
129	103	178.3198	199.4366
130	103	172.9832	208.5826
131	103	161.9265	219.4746
132	103	162.4167	225.9974
133	103	177.5914	222.9804
134	103	177.2452	225.7034
135	103	181.2947	241.9035
136	103	196.2812	207.7282
137	103	194.2055	208.2135
138	103	197.4007	194.1283
139	103	193.6856	195.4569
140	103	225.3935	183.3359
141	103	241.5927	187.8633
142	103	240.0869	189.4059
143	103	239.3029	237.9458
144	103	247.5616	238.0112
145	103	249.1966	229.2512
146	103	277.8075	148.7800
147	103	274.4925	146.7761
148	103	273.9601	139.8869
149	103	281.6128	146.9797
150	103	220.3746	212.6973
151	103	223.2417	229.3173
152	103	210.3946	235.8413
153	103	200.6982	219.3646
154	103	52.0114	236.7016
155	103	43.7203	246.8122
156	103	36.8657	272.6150
157	103	37.7893	272.2835
158	103	47.8951	277.3654
159	103	39.6825	222.8273
160	103	42.6127	220.0714
161	104	242.5971	90.0808
162	104	277.9309	118.8377
163	104	200.7099	251.3844
164	104	225.4263	251.4939
165	104	81.2880	161.5489
166	104	94.8949	133.1463
167	104	111.3604	147.0379
168	104	72.6321	117.9050
169	104	143.5514	144.2511
170	104	124.9846	201.4485
171	104	111.9811	189.5378
172	104	59.1894	273.2214
173	104	41.2578	232.9912
174	104	92.2575	240.6886
175	104	190.0561	195.1394
176	104	225.2804	261.3205
177	104	227.9511	235.8232
178	104	207.6678	239.2182
179	104	244.3298	237.1240
180	104	244.3389	250.8564
181	108	206.5660	266.7811
182	108	284.0919	135.7874
183	108	293.2371	49.8399
184	108	242.9846	68.1158
185	108	231.3055	73.8363
186	108	156.3726	88.5725
187	108	132.0846	90.7770
188	108	109.6704	104.1899
189	108	95.9890	271.8132
190	108	213.7620	258.1103
191	108	207.3246	238.9917
192	108	208.0230	238.4558
193	108	283.5550	134.8196
194	108	282.6564	130.6338
195	108	259.6949	76.2745
196	108	258.8240	76.7735
197	108	213.2454	35.1177
198	108	211.1420	35.0379
199	108	93.7442	273.2999
200	108	107.6275	263.7554
