INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	8	45.8628	43.7730
2	8	41.4276	91.1477
3	8	47.5186	137.5238
4	8	46.7681	131.9826
5	8	57.0504	38.8507
6	8	65.3319	40.4146
7	8	139.7527	37.7328
8	8	149.5839	38.4415
9	8	197.3205	57.6086
10	8	195.8954	63.9890
11	8	193.5480	39.6130
12	8	201.7708	40.8964
13	8	226.4180	41.4425
14	8	230.0119	37.3447
15	8	238.9160	36.9092
16	8	239.9486	41.9182
17	8	242.5573	33.3490
18	8	285.1612	41.2706
19	8	281.6414	48.7962
20	8	274.6234	61.5353
21	8	265.2569	89.5452
22	8	281.0019	99.4185
23	8	249.6566	112.3461
24	8	238.0047	106.8573
25	8	249.2092	104.8467
26	8	238.5044	115.6187
27	8	227.7788	116.8991
28	8	236.3758	123.2962
29	8	249.2707	137.2385
30	8	267.9503	167.3907
31	8	265.7341	161.5918
32	8	260.3047	164.2680
33	8	204.8809	178.9864
34	8	186.2780	181.0684
35	8	270.0567	212.2047
36	8	272.1458	214.4572
37	8	230.2507	218.3308
38	8	225.1437	233.7327
39	8	217.3962	235.9976
40	8	244.1026	238.4684
41	8	277.6839	275.6174
42	8	252.1144	275.2454
43	8	223.8943	277.2769
44	8	214.5461	281.6664
45	8	215.1761	256.8194
46	8	203.1504	238.3692
47	8	193.4756	237.5773
48	8	196.3884	193.3442
49	8	217.9049	105.8154
50	8	200.9986	103.7043
51	8	47.7495	172.5609
52	8	38.3632	203.4363
53	8	50.8668	243.3355
54	8	87.7839	280.2014
55	8	39.8202	182.3391
56	8	50.2142	177.2592
57	8	37.9332	122.2070
58	8	66.5219	107.0346
59	8	84.0045	114.2477
60	8	97.0837	92.5897
61	8	83.9986	156.1313
62	8	131.9987	184.3088
63	8	96.1116	227.7619
64	8	150.9944	279.8402
65	8	166.7529	251.4485
66	8	168.6083	128.9810
67	8	181.1548	113.3827
68	8	143.5732	86.0730
69	8	160.7771	66.2500
70	8	84.2819	44.1765
71	8	91.8536	69.1467
72	8	74.9136	92.2767
73	8	187.9733	146.0530
74	8	199.6785	212.0268
75	8	210.1000	214.2358
76	9	240.3870	204.9105
77	9	216.5569	238.5683
78	9	191.7206	281.8350
79	9	166.5742	275.8911
80	9	53.3258	246.7850
81	9	45.5787	58.2659
82	9	55.3517	37.9410
83	9	166.3975	40.2358
84	9	193.5346	59.8309
85	9	214.5470	40.3867
86	9	244.2724	38.3011
87	9	228.7920	84.3506
88	9	256.0396	110.2764
89	9	279.9298	93.2983
90	9	274.9680	126.0946
91	9	236.8375	137.9756
92	9	275.2961	169.1024
93	9	179.9911	148.5632
94	9	176.3646	132.8452
95	9	93.2370	118.1847
96	9	56.0234	155.0473
97	9	77.3031	164.5972
98	9	111.4450	202.9001
99	9	120.5315	181.7887
100	9	124.0124	246.0647
101	50	267.5741	225.1084
102	115	272.8294	38.5082
103	115	250.8335	78.8692
104	115	233.8764	107.8230
105	115	240.4223	103.7095
106	115	251.5133	103.6476
107	115	277.9348	81.4146
108	115	271.5027	106.0163
109	115	60.7657	56.5753
110	115	57.1564	66.9230
111	115	128.5534	39.0196
112	115	112.4994	44.6578
113	115	35.0177	67.6642
114	115	34.0554	88.1263
115	115	34.1713	116.1725
116	115	44.6652	126.4841
117	115	41.1544	144.5602
118	115	42.8522	160.2063
119	115	51.4736	164.2560
120	115	61.4303	162.7009
121	115	72.8426	163.5724
122	115	76.2356	186.6013
123	115	67.0209	197.5144
124	115	59.3495	201.0709
125	115	47.5880	199.7649
126	115	46.9201	198.8196
127	115	33.3514	253.2331
128	115	33.8602	253.2174
129	115	40.0676	282.8523
130	115	44.3265	281.2993
131	115	69.6619	279.5257
132	115	99.2403	273.2763
133	115	105.8604	277.5515
134	115	132.6433	282.8053
135	115	138.7036	279.8440
136	115	181.5132	285.5234
137	115	185.5177	286.6133
138	115	189.9511	275.0955
139	115	190.2858	278.2515
140	115	172.5739	246.4750
141	115	175.8812	247.1366
142	115	160.7652	224.3204
143	115	161.4535	224.4688
144	115	137.2162	224.0533
145	115	136.5631	223.8355
146	115	139.7822	227.1867
147	115	140.0899	226.2001
148	115	168.2461	212.6388
149	115	168.5214	210.4666
150	115	197.8725	240.0593
151	115	198.3912	240.0608
152	115	213.6789	232.5143
153	115	214.3034	232.2070
154	115	227.4576	217.4953
155	115	241.3375	203.5748
156	115	242.3787	202.7160
157	115	276.5678	264.6751
158	115	277.2344	264.3308
159	115	282.9870	263.8376
160	115	283.3664	263.4915
161	115	279.5588	279.0205
162	116	260.9685	185.8189
163	116	255.9748	197.0693
164	116	251.9664	207.0936
165	116	228.7162	240.9025
166	116	131.0112	284.3728
167	116	45.9238	278.2708
168	116	42.9927	228.7029
169	116	48.3471	170.6663
170	116	68.0219	195.2267
171	116	39.4233	123.9409
172	116	58.5387	58.7144
173	116	62.2435	49.5250
174	116	155.7969	47.1934
175	116	282.9967	83.5643
176	116	273.1557	85.8454
177	116	236.1814	116.0193
178	116	253.9196	112.0948
179	116	257.5286	136.5434
180	116	250.9843	133.3802
181	116	281.5955	129.1494
182	120	235.7710	180.4289
183	120	271.5441	266.1073
184	120	203.4243	206.9297
185	120	206.9805	195.8408
186	120	152.9687	272.1174
187	120	120.9021	271.5281
188	120	85.8644	268.2088
189	120	47.5283	224.6650
190	120	72.1296	226.8448
