INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	4	183.657	71.5609
2	4	268.7885	156.9332
3	4	245.053	168.5305
4	4	36.9635	41.036
5	4	39.0223	49.1936
6	4	90.1964	85.6349
7	4	99.831	81.8843
8	4	114.0052	80.6664
9	4	104.3422	66.1742
10	4	113.7818	61.7618
11	4	119.3979	72.2425
12	4	158.5258	63.3383
13	4	34.8365	72.5413
14	4	43.9475	88.8603
15	4	40.6256	106.8555
16	4	161.41	82.1903
17	4	198.1196	83.1017
18	4	248.0903	65.5816
19	4	241.1166	79.0065
20	4	279.237	108.3492
21	4	266.0978	117.085
22	4	281.3929	161.2349
23	4	285.8742	194.6255
24	4	275.6392	201.8865
25	4	271.0411	210.8532
26	4	263.5585	198.5477
27	4	272.5038	224.2309
28	4	246.3457	238.829
29	4	192.6172	209.6084
30	4	218.4305	243.3432
31	4	244.6944	243.7232
32	4	252.887	245.6499
33	4	282.7829	259.4458
34	4	267.7319	285.1034
35	4	248.7383	286.6111
36	4	256.726	283.2396
37	4	234.5464	284.1798
38	4	179.673	280.9911
39	4	173.7653	286.7071
40	4	155.3806	271.2254
41	4	151.9801	265.1354
42	4	158.7947	255.7099
43	4	166.4243	249.5925
44	4	147.3846	254.2702
45	4	124.7715	277.9134
46	4	124.5634	267.9774
47	4	131.3967	273.643
48	4	90.4462	200.8163
49	4	80.6486	209.3338
50	4	167.17	147.7597
51	4	191.3636	280.8558
52	4	197.1651	282.0625
53	4	203.7316	282.4452
54	4	285.8578	257.3729
55	4	226.6396	244.4588
56	4	203.628	239.6348
57	4	216.6568	231.8819
58	4	133.521	261.6535
59	4	141.4447	148.3707
60	4	114.4358	200.9782
61	4	203.3584	188.5902
62	4	181.9026	200.5883
63	4	191.2079	277.5773
64	4	137.7357	255.3953
65	4	61.082	224.4036
66	4	72.1484	119.5725
67	4	47.601	82.4482
68	4	59.2046	257.5618
69	4	89.4557	228.5983
70	4	87.2351	269.0527
71	4	164.3238	252.3443
72	4	192.5382	237.5509
73	4	203.3519	225.0606
74	4	214.261	227.1398
75	4	217.7933	215.6392
76	5	182.5503	270.4925
77	5	184.393	255.4404
78	5	230.4653	232.6102
79	5	253.807	224.055
80	5	254.3881	179.9872
81	5	226.9437	190.6189
82	5	242.2943	133.6176
83	5	244.2322	100.1395
84	5	233.6048	75.6935
85	5	205.2085	89.6015
86	5	188.1417	84.6123
87	5	163.551	93.5237
88	5	128.5267	98.3804
89	5	153.0969	63.3698
