INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	7	127.0551	13.3173
2	7	136.9489	17.2742
3	7	147.9394	38.5554
4	7	230.3168	71.9824
5	7	226.7567	38.9717
6	7	244.4507	37.1481
7	7	275.8349	74.3090
8	7	277.7341	85.2372
9	7	271.9921	86.5563
10	7	284.7192	139.7906
11	7	286.9315	191.9068
12	7	285.5630	197.9335
13	7	242.2041	221.1006
14	7	238.5875	226.8694
15	7	245.8834	216.9662
16	7	261.1919	205.5560
17	7	216.6629	228.9812
18	7	221.7261	233.3842
19	7	184.2045	276.4441
20	7	183.4976	271.4625
21	7	208.0784	225.7641
22	7	193.8549	212.1130
23	7	244.0320	159.1318
24	7	210.5063	162.5897
25	7	190.7951	116.4867
26	7	162.1696	139.9797
27	7	158.9484	135.3864
28	7	189.4783	155.2945
29	7	195.7567	152.4057
30	7	141.6713	202.7900
31	7	113.8307	189.7908
32	7	164.8536	256.3160
33	7	164.1768	247.3642
34	7	144.9987	239.0366
35	7	119.2743	273.8826
36	7	126.8017	273.8810
37	7	87.8052	244.2457
38	7	98.6106	280.5688
39	7	100.7833	273.8483
40	7	80.4374	209.5029
41	7	76.2737	204.6556
42	7	61.8142	215.2522
43	7	60.7079	204.6614
44	7	108.6634	188.8052
45	7	52.8578	158.4946
46	7	59.0953	151.8551
47	7	82.3850	142.5799
48	7	86.8020	144.3752
49	7	44.6135	123.7105
50	7	47.0520	122.3742
51	7	66.8806	125.5020
52	7	79.7515	118.6936
53	7	77.7186	47.5201
54	7	131.9431	55.4888
55	7	244.6249	214.2007
56	7	132.0985	184.2439
57	7	144.1233	80.1000
58	7	100.5784	114.9963
59	7	142.6405	184.6620
60	7	150.2033	194.7906
61	8	140.0952	23.6490
62	8	150.9814	20.5161
63	8	125.9585	25.3648
64	8	35.9743	70.8609
65	8	46.1908	71.3990
66	8	43.9428	145.5075
67	8	70.6738	124.9941
68	8	86.6414	181.8319
69	8	79.8020	169.9785
70	8	75.0683	193.4531
71	8	101.2163	220.0573
72	8	107.4848	243.6871
73	8	92.5957	276.2758
74	8	94.6908	286.8312
75	8	45.6648	273.0484
76	8	140.8960	272.6608
77	8	134.3450	198.3310
78	8	205.5634	191.3541
79	8	87.2327	98.5953
80	8	34.8076	133.4126
81	113	76.3076	275.1390
82	113	76.2560	265.2657
83	113	88.6810	235.4818
84	113	71.9722	225.1003
85	113	59.2021	221.3178
86	113	41.8361	245.4160
87	113	86.9489	248.9168
88	113	119.2199	277.0161
89	113	145.0506	263.0703
90	113	124.6286	252.4240
91	113	186.0421	258.8772
92	113	206.3331	279.8206
93	113	234.5629	264.3124
94	113	215.9387	249.4032
95	113	270.6341	263.5642
96	113	270.9713	235.3475
97	113	252.2587	234.1087
98	113	230.6723	240.6160
99	113	230.1743	221.5295
100	113	203.4052	230.3639
101	113	211.3295	230.0262
102	113	201.2205	240.4283
103	113	215.6864	250.0894
104	113	229.5999	180.0223
105	113	223.6532	187.3562
106	113	248.2803	173.7834
107	113	252.9691	178.8129
108	113	269.2439	178.6258
109	113	268.2068	164.2627
110	113	280.7922	160.0842
111	113	280.8218	139.1592
112	113	260.3494	135.6287
113	113	259.7270	137.7007
114	113	277.4625	114.9138
115	113	276.7498	113.9812
116	113	277.7362	79.3561
117	113	276.8770	79.0070
118	113	272.0912	65.1732
119	113	271.9336	62.8575
120	113	249.3537	42.3763
121	113	251.2748	43.7307
122	113	238.6977	95.2017
123	113	224.0416	96.5120
124	113	185.1438	149.3331
125	113	174.5691	146.4768
126	113	185.0904	125.5341
127	113	181.9508	120.7144
128	113	190.2056	105.9021
129	113	146.6548	84.2327
130	113	146.4060	81.1203
131	113	119.4946	64.2649
132	113	108.3765	61.7192
133	113	69.4567	67.8055
134	113	68.2170	74.0211
135	113	45.8049	88.1046
136	113	50.2797	87.6676
137	113	42.4921	53.6448
138	113	41.1459	111.5509
139	113	41.1669	131.3614
140	113	65.8655	135.3960
141	115	113.3223	279.2949
142	115	88.2464	293.9561
143	115	67.8618	198.7257
144	115	31.9242	153.6866
145	115	48.9085	154.3374
146	115	79.4971	54.9290
147	115	162.9268	58.4733
148	115	151.5261	77.5170
149	115	159.8836	100.3911
150	115	225.3099	72.2259
151	115	244.3310	117.4521
152	115	205.2995	109.4291
153	115	235.2689	199.0308
154	115	207.9911	208.3314
155	115	134.1903	170.7204
156	115	127.1767	156.0000
157	115	98.9406	161.6740
158	115	81.7229	230.3202
159	115	33.4022	152.0652
160	115	78.0671	113.2027
161	117	163.7201	236.5727
162	117	153.9709	270.9035
163	117	111.1316	281.6772
164	117	118.5665	281.3278
165	117	101.0140	277.3607
166	117	113.2576	269.0339
167	117	106.4775	270.1959
168	117	54.8461	197.2163
169	117	80.7209	55.1118
170	117	165.9031	56.7180
171	117	154.3802	67.8069
172	117	222.6752	66.1632
173	117	247.5774	112.8832
174	117	256.4385	193.0318
175	117	228.2083	200.7103
176	117	108.3059	178.6515
177	117	105.9539	163.5927
178	117	194.7391	189.1542
179	117	159.2335	100.9946
180	117	83.2470	109.6068
181	207	218.1414	156.4739
182	207	241.9124	153.1580
183	208	95.5180	219.6298
184	208	85.8346	179.7906
185	208	70.8164	174.7886
186	208	147.4049	32.2511
187	208	120.4068	27.3530
