INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	12	51.4477	57.6023
2	12	42.7641	65.7488
3	12	72.2452	74.8537
4	12	67.4394	84.1274
5	12	43.4715	80.7701
6	12	41.8305	87.1020
7	12	42.5031	96.7980
8	12	56.8753	117.3907
9	12	61.8649	121.1443
10	12	72.4063	133.8380
11	12	40.2556	154.8145
12	12	51.4946	161.4201
13	12	59.1817	169.3195
14	12	44.4410	174.7828
15	12	43.0327	190.5314
16	12	78.2605	200.0844
17	12	70.8678	208.7886
18	12	59.6183	212.0304
19	12	48.2488	221.7600
20	12	41.9281	221.0858
21	12	44.2159	238.4259
22	12	70.9028	258.3443
23	12	68.7850	249.6546
24	12	75.6824	248.2217
25	12	77.2579	234.5479
26	12	82.9429	232.8194
27	12	87.1974	241.4807
28	12	93.4045	230.8929
29	12	103.0504	243.4722
30	12	106.9888	237.7640
31	12	114.7477	235.2889
32	12	104.5517	223.9727
33	12	108.9302	212.5971
34	12	124.6442	228.5643
35	12	138.5648	227.9952
36	12	150.5908	228.9491
37	12	161.9893	228.8911
38	12	141.3306	212.3998
39	12	143.4126	199.9542
40	12	156.8057	195.2914
41	12	145.9431	214.7381
42	12	169.6400	218.6579
43	12	189.0768	214.0893
44	12	183.7224	214.8821
45	12	227.3542	246.2622
46	12	277.8806	236.4796
47	12	277.1955	244.1439
48	12	278.0195	252.2036
49	12	279.4699	259.8705
50	12	274.7710	279.4538
51	12	266.1696	280.6587
52	12	270.4183	265.9217
53	12	269.3574	256.2073
54	12	265.4771	242.7665
55	12	260.8208	253.2803
56	12	258.7640	266.6979
57	12	250.8805	272.0081
58	12	244.5493	253.6466
59	12	245.2013	243.0600
60	12	238.6731	242.5818
61	12	238.4626	251.4556
62	12	237.7500	259.4809
63	12	233.0423	260.5294
64	12	233.3641	250.9409
65	12	261.3885	195.5675
66	12	264.8889	201.7887
67	12	258.4110	202.3979
68	12	258.0376	208.6677
69	12	261.6180	213.9025
70	12	256.1735	216.3565
71	12	242.1176	219.6716
72	12	232.9145	208.3118
73	12	211.1626	214.1507
74	12	223.0619	193.2475
75	12	215.2208	170.4478
76	12	212.8289	160.6360
77	12	224.8585	155.5747
78	12	275.2594	147.1941
79	12	277.8610	141.9555
80	12	277.1118	127.5569
81	12	271.5599	106.0537
82	12	276.4871	93.2960
83	12	272.8480	81.2817
84	12	264.3952	72.0713
85	12	257.4168	61.8020
86	12	245.5510	43.1663
87	12	248.1618	65.7382
88	12	255.8513	75.9699
89	12	228.1799	59.3816
90	12	223.2670	52.7858
91	12	218.6301	43.5377
92	12	218.6307	73.1673
93	12	233.2458	101.5208
94	12	214.3813	100.7633
95	12	213.4442	114.9868
96	12	225.8478	123.6796
97	12	206.5239	90.8069
98	12	200.1519	100.9197
99	12	152.5883	56.4061
100	12	170.0811	56.0817
101	127	60.4188	45.5828
102	127	58.4860	54.9618
103	127	54.0447	56.4791
104	127	47.6938	61.4357
105	127	45.2428	62.5147
106	127	42.7391	69.4805
107	127	43.3239	75.8501
108	127	41.8101	84.2408
109	127	41.6029	94.2265
110	127	42.0167	101.9436
111	127	57.7377	96.7689
112	127	60.6019	93.7294
113	127	122.9785	123.8761
114	127	110.8158	123.7441
115	127	108.1245	131.3676
116	127	99.0853	132.1599
117	127	95.0758	122.6394
118	127	89.9518	124.4500
119	127	83.7239	116.9697
120	127	75.8969	113.2500
121	127	70.6608	110.2265
122	127	68.2150	104.0615
123	127	63.0509	109.1577
124	127	71.2852	114.5825
125	127	57.9450	140.4403
126	127	57.1037	121.8981
127	127	68.5416	127.6661
128	127	42.3903	130.2134
129	127	40.4332	144.2835
130	127	61.1477	172.6057
131	127	42.6666	187.0967
132	127	43.6507	208.1823
133	127	60.8247	209.7133
134	127	61.6777	192.6940
135	127	75.8388	235.8951
136	127	79.5689	232.3548
137	127	80.2133	242.2888
138	127	66.1852	254.5552
139	127	90.0877	249.8783
140	127	92.4821	266.0733
141	127	88.9435	265.7007
142	127	105.4802	252.8545
143	127	116.5570	246.9463
144	127	115.1429	238.4465
145	127	108.8545	234.6933
146	127	100.4337	222.8061
147	127	115.8875	222.4761
148	127	127.2941	206.6753
149	127	137.9013	212.9187
150	127	134.5647	201.6158
151	127	115.8339	169.1981
152	127	97.5002	180.0331
153	127	154.6168	78.2776
154	127	166.2332	79.5521
155	127	158.3312	88.9354
156	127	152.1338	128.2672
157	127	171.8464	125.8977
158	127	178.2997	128.2309
159	127	195.5186	113.9914
160	127	118.7351	110.6436
161	129	209.9082	209.3424
162	129	223.8212	202.9310
163	129	231.2184	213.6139
164	129	222.2553	231.9804
165	129	224.6288	244.7087
166	129	254.7450	249.4990
167	129	267.2423	172.0958
168	129	257.0468	150.3681
169	129	230.8374	158.6721
170	129	213.8136	148.2733
171	129	217.4243	132.9445
172	129	191.3350	120.8500
173	129	194.6541	96.6266
174	129	186.0318	83.8100
175	129	187.6974	64.6822
176	129	145.9706	70.5661
177	129	147.4121	78.1156
178	129	135.2955	96.6657
179	129	143.9965	118.3255
180	129	83.1648	96.3480
181	130	150.3556	89.5846
182	130	160.5137	93.4850
183	130	144.8086	123.3613
184	130	151.6041	127.3424
185	130	163.4578	122.7118
186	130	175.5102	122.0033
187	130	190.0051	120.8417
188	130	123.9831	96.0806
189	130	126.5379	84.4478
190	130	89.0304	100.6283
191	130	90.4845	94.7284
192	130	68.4678	200.4768
193	130	66.5373	189.4268
194	130	91.7368	242.1391
195	130	112.1922	219.1361
196	130	129.1045	225.0522
197	130	152.2368	225.7688
198	130	167.8081	214.0491
199	130	184.6044	209.7479
200	130	207.1085	211.5749
201	212	208.8437	72.4780
202	212	211.8731	74.8565
