INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	10	57.0637	33.5402
2	10	97.5217	54.5573
3	10	137.9947	65.6852
4	10	149.5224	57.8447
5	10	153.2112	37.2192
6	10	164.9377	53.1175
7	10	172.8774	61.9700
8	10	164.3455	68.6599
9	10	276.1382	39.9081
10	10	281.9223	50.8555
11	10	274.6522	218.4102
12	10	262.3482	204.0164
13	10	239.4361	185.7680
14	10	228.0057	203.2441
15	10	241.0263	223.6639
16	10	246.1614	271.8948
17	10	210.2896	266.1278
18	10	195.3477	264.4382
19	10	164.3053	250.9437
20	10	171.4716	263.9488
21	10	140.1757	237.8744
22	10	130.4081	232.3314
23	10	120.0343	229.3836
24	10	103.0082	215.6943
25	10	103.2555	208.3705
26	10	123.4013	209.0790
27	10	124.6428	201.9457
28	10	141.7995	207.7129
29	10	80.7486	208.4515
30	10	88.7062	186.3223
31	10	87.9349	171.0563
32	10	44.8606	203.9213
33	10	49.9991	180.9284
34	10	143.2366	129.2669
35	10	156.8134	135.2130
36	10	155.2992	183.7727
37	10	129.1750	172.4014
38	10	118.9781	171.4741
39	10	58.4936	152.4104
40	10	78.6984	152.6728
41	10	85.2881	122.2542
42	10	70.8944	121.9880
43	10	79.0220	95.7132
44	10	51.4354	94.1721
45	10	37.6914	102.3842
46	10	34.3478	77.6012
47	10	62.7701	60.4597
48	10	67.4899	50.5501
49	10	82.1737	33.5215
50	10	95.6260	33.9168
51	10	122.0188	63.3267
52	10	161.6410	65.5577
53	10	240.4932	38.9505
54	10	233.1622	39.3593
55	10	191.3045	112.3964
56	10	178.0532	110.1207
57	10	183.9173	135.0919
58	10	180.1915	161.3794
59	10	167.1826	206.5672
60	10	155.6682	210.3523
61	118	145.3118	212.7051
62	118	134.0353	209.4468
63	118	117.5818	193.8164
64	118	87.0861	201.7415
65	118	51.2190	196.3144
66	118	84.5961	183.1860
67	118	98.7227	178.3638
68	118	99.9846	163.4701
69	118	108.7185	151.9737
70	118	117.6454	139.7268
71	118	87.7042	116.3924
72	118	91.0696	103.4997
73	118	49.7028	60.1269
74	118	44.9648	52.1609
75	118	73.2699	53.8733
76	118	96.5502	52.3179
77	118	134.1030	66.8457
78	118	143.8274	46.9080
79	118	153.9175	51.7682
80	118	162.8029	41.5362
81	118	141.4250	84.0926
82	118	149.8489	97.9781
83	118	150.6919	108.0187
84	118	165.8599	95.2884
85	118	183.7049	118.4908
86	118	170.0012	149.9816
87	118	182.5169	166.7112
88	118	172.2085	180.8652
89	118	161.3269	181.2794
90	118	154.9055	190.9463
91	118	155.6137	206.6846
92	118	262.4158	246.2744
93	118	260.1278	237.0066
94	118	274.4336	246.2540
95	118	271.7512	174.7255
96	118	271.5877	175.0106
97	118	273.8903	163.1450
98	118	273.6560	163.8645
99	118	274.2881	142.6605
100	118	274.1375	143.2901
101	118	277.9282	117.2105
102	118	277.8954	116.8677
103	118	275.4296	113.4046
104	118	274.7025	112.7550
105	118	230.7739	37.7951
106	118	230.5543	38.0881
107	118	208.1986	89.4709
108	118	207.4595	89.6221
109	118	197.9350	80.8627
110	118	196.2668	80.6949
111	118	202.9246	87.0946
112	118	148.8650	107.7496
113	118	149.9899	107.1527
114	118	148.3294	97.2079
115	118	149.4684	96.2829
116	118	136.9788	112.7457
117	118	157.2663	127.6953
118	118	169.4022	150.3486
119	118	141.5598	157.8799
120	118	141.0104	158.9010
121	119	59.6516	219.9429
122	119	83.1351	191.9882
123	119	95.2883	177.5766
124	119	112.4776	174.2330
125	119	123.7102	183.5044
126	119	140.4584	175.6840
127	119	149.3240	195.7119
128	119	160.0377	192.8910
129	119	159.6450	182.8758
130	119	167.4286	172.9542
131	119	178.6760	125.2378
132	119	187.1077	105.4396
133	119	168.0813	65.3669
134	119	140.7888	55.7055
135	119	104.6065	53.1836
136	119	56.3118	78.0222
137	119	255.9936	239.3592
138	119	230.0343	219.3896
139	119	254.4281	170.3993
140	119	259.4876	134.0491
141	210	102.3429	128.3331
142	210	133.4742	152.3777
