INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	12	76.2019	38.6803
2	12	90.6838	46.1822
3	12	79.9525	52.5262
4	12	88.4364	65.9828
5	12	74.4890	68.2309
6	12	61.9079	69.9333
7	12	46.5448	78.5067
8	12	39.4848	58.1570
9	12	40.0851	43.1599
10	12	69.6709	92.9474
11	12	80.4786	94.5705
12	12	106.1544	108.8589
13	12	111.5766	117.9078
14	12	123.5291	117.9402
15	12	125.3199	107.1750
16	12	137.7503	109.2876
17	12	151.2062	102.1499
18	12	164.3712	81.1315
19	12	140.3171	80.3137
20	12	134.4144	64.1366
21	12	132.6286	53.9595
22	12	150.3391	65.4846
23	12	148.6635	52.3639
24	12	162.3626	59.7672
25	12	166.5769	45.7163
26	12	187.6586	42.7380
27	12	199.5721	69.0630
28	12	191.3553	76.9747
29	12	190.0770	86.4261
30	12	184.4360	90.5613
31	12	190.5184	111.3348
32	12	183.5814	112.4509
33	12	191.5587	121.2503
34	12	191.7836	150.5606
35	12	204.1870	148.0432
36	12	212.0043	146.1919
37	12	218.1226	154.5622
38	12	201.7700	164.0961
39	12	221.3987	158.6195
40	12	238.5112	163.4588
41	12	245.6743	172.5261
42	12	263.2555	175.6922
43	12	261.6667	186.5991
44	12	268.9045	192.7293
45	12	271.4233	186.3236
46	12	278.6597	197.1366
47	12	279.7159	188.2860
48	12	273.8241	139.9305
49	12	262.4112	133.6187
50	12	244.3609	129.8453
51	12	271.7185	71.8368
52	12	265.4194	83.6369
53	12	226.8245	63.2051
54	12	230.1954	52.2583
55	12	251.4364	82.7287
56	12	248.2235	228.5966
57	12	232.4265	238.3720
58	12	219.2977	240.0492
59	12	205.3504	259.7843
60	12	194.4490	259.7280
61	12	251.0151	270.5679
62	12	258.9246	259.2078
63	12	273.2715	256.3961
64	12	183.3839	238.2878
65	12	165.3233	241.9230
66	12	149.2348	243.1369
67	12	150.7345	253.0129
68	12	139.7521	264.8966
69	12	129.2130	259.0453
70	12	119.5840	246.5911
71	12	107.5494	243.6962
72	12	84.2529	245.1949
73	12	81.1022	235.4085
74	12	93.2957	232.7848
75	12	95.0665	225.4895
76	12	115.2140	226.1915
77	12	113.8229	217.6685
78	12	102.7587	209.7195
79	12	99.3571	199.1740
80	12	111.9527	203.1754
81	12	62.7807	219.6037
82	12	43.0971	218.5538
83	12	46.9639	207.3043
84	12	58.4956	201.7030
85	12	58.3149	188.5566
86	12	67.8086	185.6546
87	12	64.6642	172.2846
88	12	43.8577	231.1003
89	12	71.0607	256.0111
90	12	82.3292	251.5280
91	12	113.1934	207.8870
92	12	115.3074	197.2037
93	12	140.1571	207.0032
94	12	144.3592	201.3407
95	12	157.5680	200.1933
96	12	159.5125	192.6374
97	12	163.2292	132.5336
98	12	157.9167	124.0126
99	12	167.4467	127.8768
100	12	114.7063	56.0911
101	126	40.4352	45.1345
102	126	41.4020	77.2224
103	126	52.9140	77.2784
104	126	81.0669	55.4250
105	126	88.6724	50.2947
106	126	81.3893	71.2771
107	126	69.1274	93.9168
108	126	88.5487	96.8526
109	126	113.7978	117.2726
110	126	116.7118	108.5061
111	126	134.0628	113.7603
112	126	132.2350	105.9769
113	126	160.7669	121.6376
114	126	152.9327	133.5110
115	126	168.5686	132.2006
116	126	190.9335	114.5964
117	126	185.2358	109.6384
118	126	199.1289	71.8311
119	126	186.2563	84.5115
120	126	191.1896	73.4403
121	126	204.0090	86.3499
122	126	275.6141	72.6411
123	126	274.3831	59.6889
124	126	255.3461	46.0634
125	126	253.5352	81.2875
126	126	246.6316	90.0279
127	126	248.0286	114.8222
128	126	236.9061	116.7344
129	126	246.5202	123.8399
130	126	239.6918	132.9423
131	126	248.8910	138.9798
132	126	273.6406	135.7943
133	126	275.2708	143.8282
134	126	265.8042	152.1125
135	126	272.7395	160.2503
136	126	235.5865	161.0220
137	126	229.5476	160.9785
138	126	212.3654	156.1866
139	126	218.0882	167.7549
140	126	266.9078	193.5780
141	126	264.3018	179.5106
142	126	275.4786	200.8170
143	126	251.8731	225.1565
144	126	238.4139	225.1831
145	126	225.7221	233.6087
146	126	182.5753	231.7076
147	126	196.1583	208.4645
148	126	202.7299	223.5103
149	126	200.3039	257.8456
150	126	161.7001	258.1860
151	126	140.6944	252.9348
152	126	125.6142	250.6417
153	126	141.6513	239.4677
154	126	120.3312	235.9795
155	126	84.7176	234.7716
156	126	70.5854	228.0594
157	126	49.1695	225.6374
158	126	47.2923	214.7799
159	126	53.8122	198.4550
160	126	62.5990	185.6975
161	127	135.3671	265.6560
162	127	166.6032	270.1571
163	127	188.9540	265.9418
164	127	211.5437	270.6381
165	127	223.8522	266.0620
166	127	225.9223	242.8298
167	127	232.3697	231.6850
168	127	237.7069	220.8967
169	127	255.2414	227.1718
170	127	196.8960	207.8639
171	127	166.4875	196.7693
172	127	159.7330	185.3871
173	127	153.6844	178.3042
174	127	157.2318	130.5299
175	127	152.0060	119.8762
176	127	125.4300	113.2912
177	127	111.6692	111.5790
178	127	85.2113	96.6855
179	127	76.3031	70.6068
180	127	87.1811	52.1173
181	128	66.4062	224.5610
182	128	76.2850	229.4947
183	128	89.9335	229.3278
184	128	107.0590	222.6657
185	128	107.4225	210.4197
186	128	101.9859	193.8218
187	128	71.6933	171.7668
188	128	58.3265	181.1260
189	128	59.8671	158.9955
190	128	78.6116	158.0220
191	128	153.9011	176.7012
192	128	145.5338	187.4361
193	128	165.4170	196.2660
194	128	174.2855	201.6712
195	128	192.0163	208.0556
196	128	180.1991	230.5723
197	128	162.6627	240.4017
198	128	147.5484	240.2353
199	128	125.0262	246.9553
200	128	135.1780	266.6868
201	212	225.7890	132.6176
202	212	219.8770	138.6469
