INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	11	78.4079	155.7094
2	11	74.4382	160.3068
3	11	110.6163	238.4006
4	11	112.3172	230.4275
5	11	109.7892	224.6385
6	11	123.3423	241.5851
7	11	124.7698	227.2265
8	11	171.7312	192.1374
9	11	134.4137	231.8339
10	11	149.6974	226.1871
11	11	168.6031	266.3706
12	11	167.9418	259.7241
13	11	171.6551	248.0723
14	11	170.6473	203.8819
15	11	151.5928	213.1181
16	11	179.3916	234.5542
17	11	182.4752	248.2778
18	11	190.7986	262.444
19	11	200.0282	274.4025
20	11	200.6036	285.8734
21	11	193.2221	284.8492
22	11	214.9417	286.6817
23	11	234.7017	280.1532
24	11	235.0791	269.8612
25	11	244.8488	264.8166
26	11	252.2197	279.7379
27	11	283.0639	267.8273
28	11	283.3893	258.5157
29	11	274.4541	246.9372
30	11	256.1618	254.7874
31	11	257.5524	250.0669
32	11	252.9978	250.6241
33	11	284.4856	235.4658
34	11	279.2701	232.3658
35	11	276.0239	236.4466
36	11	224.0466	259.7009
37	11	236.6629	259.0942
38	11	236.3603	232.851
39	11	231.7348	233.0285
40	11	223.8879	232.7634
41	11	239.1781	224.4033
42	11	235.1034	223.7665
43	11	177.8998	224.6083
44	11	204.8945	196.4658
45	11	208.6094	188.9325
46	11	225.405	163.3351
47	11	207.6156	124.801
48	11	216.6315	122.8504
49	11	216.7163	116.4166
50	11	228.4214	101.6372
51	11	237.6236	190.7326
52	11	236.9856	161.7671
53	11	239.646	119.6356
54	11	256.2878	115.0947
55	11	245.1033	109.1112
56	11	269.3284	98.9025
57	11	267.3814	115.9688
58	11	271.2754	50.9748
59	11	264.4194	57.1079
60	11	232.5109	69.8462
61	11	229.0191	71.4108
62	11	224.6852	69.3842
63	11	202.192	65.8535
64	11	212.8525	97.6708
65	11	186.6407	86.2164
66	11	184.2861	88.9642
67	11	176.0611	73.6285
68	11	166.7607	77.5601
69	11	151.1189	58.2159
70	11	151.0331	60.1195
71	11	137.675	69.0349
72	11	130.3978	64.511
73	11	79.0174	46.7053
74	11	74.8644	38.4514
75	11	74.6417	44.8699
76	11	86.771	88.8487
77	11	84.9234	93.3378
78	11	84.3789	105.9443
79	11	84.761	111.6936
80	11	92.9892	128.3558
81	121	71.7813	57.4208
82	121	81.8684	63.7693
83	121	66.9261	62.8937
84	121	92.8699	72.2169
85	121	98.8244	55.7146
86	121	117.5779	57.6857
87	121	143.1625	68.7726
88	121	168.1725	56.4898
89	121	197.0573	78.0424
90	121	226.8578	77.283
91	121	246.0564	102.747
92	121	231.6343	114.1111
93	121	228.782	145.5199
94	121	210.6228	166.6186
95	121	217.0578	173.1428
96	121	254.2352	213.9558
97	121	236.1795	269.863
98	121	224.1532	279.0564
99	121	208.3672	269.7124
100	121	197.3288	263.0278
101	124	191.8653	256.8415
102	124	175.381	246.9692
103	124	173.4418	243.0735
104	124	168.7051	245.5047
105	124	161.2332	240.808
106	124	167.0331	232.6848
107	124	148.7828	224.5487
108	124	142.2733	231.9789
109	124	131.6426	219.3591
110	124	127.6067	223.7872
111	124	135.0046	208.5566
112	124	101.9534	229.2601
113	124	96.29	215.7584
114	124	86.8571	195.6764
115	124	86.2887	178.3472
116	124	84.8408	146.2798
117	124	88.707	129.3063
118	124	79.954	92.8482
119	124	95.3964	96.5923
120	124	102.6427	73.4316
121	211	196.5757	135.347
122	211	195.9396	128.3439
123	211	147.3903	194.1122
