INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	9	284.4557	274.7296
2	9	269.8632	282.1107
3	9	258.1921	284.9055
4	9	250.1309	285.4554
5	9	244.0909	287.2532
6	9	236.7632	287.1140
7	9	231.0472	287.2057
8	9	223.7186	286.0313
9	9	207.6441	278.5443
10	9	212.9738	275.5539
11	9	212.3150	266.3669
12	9	219.1913	252.9777
13	9	223.4630	244.2314
14	9	212.6201	220.3087
15	9	222.8730	202.9619
16	9	216.5775	200.8079
17	9	204.0242	210.4916
18	9	182.4283	198.5993
19	9	186.7380	171.0581
20	9	187.2839	174.5404
21	9	199.0932	168.6679
22	9	203.3296	154.5805
23	9	207.1596	142.5456
24	9	209.8979	133.5381
25	9	200.8901	134.3475
26	9	218.7968	137.7239
27	9	227.5125	151.5825
28	9	275.4279	144.0941
29	9	265.6789	122.0893
30	9	251.4488	123.7593
31	9	247.0507	108.9945
32	9	258.5808	114.2167
33	9	258.5859	119.7478
34	9	243.8961	98.4461
35	9	250.8392	97.3012
36	9	259.8525	94.1934
37	9	281.5891	109.1403
38	9	275.7350	105.3287
39	9	284.6793	103.0506
40	9	285.2945	88.3070
41	9	283.9267	68.3605
42	9	271.9334	40.0094
43	9	255.6287	45.2253
44	9	257.4171	45.3751
45	9	265.8020	56.4998
46	9	259.6629	54.9737
47	9	247.9435	47.4504
48	9	240.2825	59.7259
49	9	244.8589	69.9057
50	9	242.8830	74.8206
51	9	241.8601	79.1339
52	9	189.2511	43.7444
53	9	179.4297	50.9934
54	9	163.7337	36.5426
55	9	144.2509	58.7237
56	9	150.7033	43.7472
57	9	135.9545	41.6467
58	9	116.7078	59.6297
59	9	141.4357	114.4282
60	9	137.3162	113.0537
61	9	130.4168	154.5264
62	9	92.0420	165.2364
63	9	69.7402	204.8047
64	9	77.9341	223.9009
65	9	71.0513	246.7700
66	9	47.7424	263.4722
67	9	49.5790	279.3050
68	9	57.6481	280.5565
69	9	72.1506	267.2818
70	9	75.5115	266.1221
71	9	99.3998	255.1029
72	9	118.4121	272.4514
73	9	117.8437	261.1003
74	9	130.5687	264.8982
75	9	161.2892	259.5468
76	9	181.0119	233.7486
77	9	195.4570	243.3842
78	9	213.2653	247.2091
79	9	146.6342	225.1482
80	9	132.4173	196.4664
81	9	139.8660	201.5184
82	9	143.3157	193.5507
83	9	139.7587	147.8303
84	9	97.1082	70.7561
85	9	75.3253	67.6624
86	9	52.8181	35.9800
87	9	37.0092	60.2877
88	9	73.7674	61.9387
89	9	56.7102	101.2224
90	9	38.6480	106.1151
91	9	46.2276	148.3810
92	9	67.6445	212.0071
93	9	56.1903	221.7327
94	9	43.5461	232.7739
95	9	103.0623	215.9091
96	9	114.2654	177.7413
97	9	113.8237	151.6242
98	9	108.1311	132.8800
99	9	141.1313	159.3109
100	9	153.2578	172.7456
101	116	255.4761	117.3192
102	116	248.8505	109.3466
103	116	200.1992	57.2068
104	116	205.0371	55.5551
105	116	198.3806	54.8661
106	116	178.9704	43.2978
107	116	184.2764	57.5157
108	116	139.0525	62.6221
109	116	153.4314	62.1543
110	116	139.2614	63.4367
111	116	98.6886	50.6323
112	116	84.7006	45.2396
113	116	73.6409	55.5841
114	116	82.2438	62.9135
115	116	65.2758	63.7093
116	116	52.6963	72.7853
117	116	41.9564	74.2376
118	116	38.9470	80.5835
119	116	42.6534	98.0917
120	116	53.7355	104.1022
121	116	61.4670	94.8791
122	116	41.7458	122.7947
123	116	48.2249	129.0737
124	116	58.9366	151.2286
125	116	66.3693	151.0891
126	116	79.3432	143.3435
127	116	90.4736	155.9872
128	116	81.4900	171.3491
129	116	80.2406	183.1290
130	116	84.0399	192.5650
131	116	65.8778	185.8362
132	116	37.6884	183.3657
133	116	42.4371	198.7293
134	116	45.1221	216.4200
135	116	59.0609	214.5352
136	116	68.9731	201.9563
137	116	70.3335	212.8055
138	116	70.9912	219.3714
139	116	71.7195	244.8642
140	116	69.1129	264.3420
141	116	94.1012	279.1526
142	116	100.0056	251.7254
143	116	126.7657	262.6263
144	116	130.4003	235.8343
145	116	140.6678	253.3186
146	116	153.3566	280.4109
147	116	165.5787	270.6615
148	116	181.7643	274.2118
149	116	196.1840	249.0698
150	116	199.9743	276.9680
151	116	212.6371	247.7935
152	116	207.4102	228.0384
153	116	212.5242	218.7553
154	116	225.0759	211.8452
155	116	219.8644	202.6325
156	116	123.0187	263.7966
157	116	119.8415	254.5338
158	116	93.2779	265.5733
159	116	92.0378	273.0660
160	116	128.0083	221.1287
161	118	93.3021	154.3374
162	118	100.8454	146.6416
163	118	106.5342	133.1149
164	118	101.2368	55.9115
165	118	87.0022	49.0928
166	118	79.4677	68.8259
167	118	54.0398	68.2794
168	118	54.6982	146.5927
169	118	80.8853	138.6500
170	118	100.6077	146.8505
171	118	103.1905	205.8676
172	118	93.3003	212.0697
173	118	91.1127	223.0861
174	118	134.4964	263.9784
175	118	148.1110	242.3802
176	118	156.6710	272.7002
177	118	82.0066	266.8764
178	118	75.4554	263.0898
179	118	44.2156	268.3930
180	118	55.5364	205.3984
181	120	63.2534	268.6144
182	120	92.5811	271.2264
183	120	58.9011	248.6194
184	120	84.2093	182.0966
185	120	147.8892	268.0384
186	120	168.8064	234.9228
187	120	207.5883	235.8731
188	120	232.2710	231.5526
189	120	269.6754	203.1628
190	120	241.7117	163.3092
191	120	245.9093	114.6230
192	120	261.4591	39.4758
193	120	218.7903	38.6760
194	120	198.8456	56.6048
195	120	178.0961	162.2735
196	120	176.1046	132.0871
197	120	123.9685	113.5501
198	120	54.3828	52.7176
199	120	53.3462	87.5198
200	120	62.5779	149.0032
201	209	262.8255	167.7001
202	209	218.4933	108.6900
203	209	209.8897	97.3319
