INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	3	275.8662	132.5348
2	3	280.1157	74.1025
3	3	265.9494	103.5395
4	3	237.5738	91.2130
5	3	260.0357	88.2266
6	3	246.9666	110.5036
7	3	231.4675	153.1298
8	3	221.3047	165.1844
9	3	189.2630	156.5763
10	3	192.0543	163.1623
11	3	174.8915	161.0502
12	3	165.0932	170.5076
13	3	171.2169	144.6794
14	3	130.9455	106.7508
15	3	123.5935	105.0863
16	3	125.1531	73.6053
17	3	112.4899	36.9708
18	3	107.1430	54.8982
19	3	104.2443	53.4031
20	3	80.8124	34.1749
21	3	76.8538	46.4454
22	3	68.2281	64.1079
23	3	61.9405	61.2219
24	3	77.9665	60.1609
25	3	59.5938	90.2472
26	3	67.4975	97.1713
27	3	59.4407	96.8550
28	3	61.3062	104.4000
29	3	54.6822	115.7731
30	3	54.3947	111.9822
31	3	69.8125	109.1152
32	3	75.2379	114.0222
33	3	80.5835	129.6417
34	3	79.0077	123.6066
35	3	76.8614	135.4111
36	3	93.2776	138.9787
37	3	93.1587	142.3279
38	3	93.1791	154.0423
39	3	117.4822	185.4003
40	3	119.4622	175.4290
41	3	110.7604	138.7736
42	3	105.5564	134.4897
43	3	120.4802	135.6591
44	3	109.9916	151.0510
45	3	45.3019	284.7761
46	3	50.8008	284.2198
47	3	33.8097	271.8341
48	3	34.2388	279.0951
49	3	39.2910	251.8464
50	3	41.5941	250.5715
51	3	71.5077	228.8389
52	3	75.7239	228.1781
53	3	88.9374	222.8473
54	3	100.6379	220.3295
55	3	104.7364	242.6540
56	3	97.9055	246.0510
57	3	110.4072	247.7110
58	3	118.1791	246.9827
59	3	105.0226	263.0290
60	3	111.3770	263.0777
61	3	110.9799	266.2365
62	3	208.9901	192.3133
63	3	232.6659	205.7546
64	3	231.5889	215.1089
65	3	226.9043	213.5036
66	3	226.8757	196.3380
67	3	245.4626	210.5976
68	3	253.7623	201.3069
69	3	251.6712	220.3330
70	3	257.4039	232.7638
71	3	256.8649	228.2709
72	3	270.8959	217.4326
73	3	282.2051	225.6461
74	3	257.3274	198.6895
75	3	279.5123	191.3835
76	4	276.4680	287.0952
77	4	265.5097	287.2293
78	4	215.4942	280.8050
79	4	164.4701	286.5964
80	4	154.2715	290.1292
81	4	175.3388	266.1297
82	4	153.8082	263.7968
83	4	190.4161	256.7439
84	4	227.1389	150.5388
85	4	128.7843	124.7778
86	4	122.5245	219.6579
87	4	83.5827	121.6429
88	4	196.8482	223.5023
89	4	194.0968	242.9466
90	4	255.2584	117.2886
91	4	264.1289	108.7488
92	4	57.7821	271.8223
93	4	74.6430	266.0823
94	4	103.6882	229.9838
95	4	112.3355	220.9070
96	4	234.9595	109.5249
97	4	203.7852	175.9337
98	4	168.8476	282.8376
99	4	213.6965	160.6494
100	4	207.0895	168.0409
101	106	135.6955	203.5325
102	106	172.5121	180.1093
103	106	193.5067	169.2700
104	106	200.8219	158.2512
105	106	204.1803	153.9284
106	106	207.5346	149.6437
107	106	205.2082	140.4810
108	106	211.0751	140.8280
109	106	211.2334	134.7180
110	106	236.6443	104.9822
111	106	238.7382	101.8727
112	106	238.2548	94.0505
113	106	244.4963	96.6548
114	106	250.2710	94.2050
115	106	250.9778	88.9848
116	106	252.8304	82.2658
117	106	259.1281	83.2502
118	106	259.2758	75.9099
119	106	255.7822	72.0874
120	106	259.0677	58.3320
121	107	139.6193	163.0991
122	107	184.5057	187.2964
123	107	194.2764	191.0551
124	107	202.4693	199.8936
125	107	178.4993	246.0036
126	107	173.1690	251.8432
127	107	41.5388	169.0971
128	107	53.2953	192.4429
129	107	84.0198	107.0385
130	107	46.5109	82.6485
131	107	60.5836	51.7268
132	107	116.1161	95.6265
133	107	237.4121	158.4389
134	107	238.9104	194.6513
135	107	246.4634	234.2396
136	107	227.9402	253.7645
137	107	200.8123	262.8915
138	107	228.5250	279.7199
139	107	244.4841	246.9399
140	107	227.3040	249.5535
141	108	231.0703	187.1482
142	108	229.5847	218.1401
143	108	248.4425	214.1454
144	108	248.0921	208.1031
145	108	268.6870	197.5382
146	108	274.2008	181.0771
147	108	274.7515	175.0205
148	108	267.9770	143.9039
149	108	260.7011	155.6116
