INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	3	104.4316	53.7050
2	3	104.7702	57.0986
3	3	117.8064	66.7305
4	3	113.1885	69.9200
5	3	108.3831	71.5624
6	3	98.4923	69.9768
7	3	109.0628	97.1038
8	3	106.0177	99.5172
9	3	100.6354	101.8339
10	3	98.6604	113.6327
11	3	96.3128	115.5453
12	3	91.2266	142.3711
13	3	98.6029	141.5332
14	3	103.6033	147.9586
15	3	79.6137	217.1948
16	3	38.7101	209.7203
17	3	40.1573	220.8867
18	3	70.5345	273.8115
19	3	68.2981	274.8727
20	3	84.1580	282.7802
21	3	86.0569	281.1892
22	3	78.8150	272.7941
23	3	99.8583	281.7594
24	3	105.8254	278.3486
25	3	104.6737	289.5583
26	3	112.7400	289.2256
27	3	118.9253	288.2340
28	3	125.9856	266.7722
29	3	133.4950	263.7610
30	3	111.2447	265.5734
31	3	124.1043	258.1489
32	3	147.1306	264.6010
33	3	170.9236	265.8799
34	3	222.7823	273.6065
35	3	222.5634	255.7447
36	3	234.9076	251.4428
37	3	245.4261	280.7826
38	3	248.8503	273.2576
39	3	248.6893	270.6687
40	3	256.3721	222.3330
41	3	253.6897	236.8124
42	3	257.0748	232.1129
43	3	245.8775	213.9127
44	3	238.4758	215.2934
45	3	208.3921	227.7377
46	3	195.0114	223.4463
47	3	229.9023	200.9120
48	3	218.2403	190.0801
49	3	191.4018	171.2788
50	3	201.9335	179.2287
51	3	182.4980	177.5860
52	3	196.8798	161.7579
53	3	211.3436	169.1971
54	3	248.5545	188.7832
55	3	280.2166	134.9307
56	3	261.5372	151.5843
57	3	268.4671	137.6653
58	3	260.7103	128.8056
59	3	253.7482	124.8406
60	3	260.5796	115.4974
61	3	262.3879	110.2879
62	3	250.4220	96.2362
63	3	257.0639	89.8120
64	3	263.7585	99.3653
65	3	226.3961	85.8003
66	3	217.2141	85.5475
67	3	128.3362	48.7092
68	3	123.3352	50.5754
69	3	210.5571	127.2763
70	3	224.7219	137.9346
71	3	215.7809	145.0933
72	3	234.1376	86.4600
73	3	261.2722	113.1293
74	3	120.6000	113.2975
75	3	125.3489	108.8946
76	3	117.6361	114.8668
77	3	113.5303	131.4700
78	3	132.2600	196.2105
79	3	137.0007	185.9376
80	3	156.5635	212.0468
81	3	159.0112	213.8704
82	3	154.9445	222.3536
83	3	201.8266	190.5675
84	3	194.5739	167.8400
85	3	241.8129	218.9266
86	3	225.4091	154.7010
87	3	221.7875	156.5989
88	3	242.7234	162.1957
89	3	192.5201	77.8583
90	3	228.8186	154.3134
91	3	238.0064	160.5590
92	3	212.9122	127.7478
93	3	165.7379	44.5182
94	3	168.3646	40.8403
95	3	133.9106	166.5466
96	3	135.6200	174.1848
97	3	145.3524	122.2231
98	3	150.6966	125.2322
99	3	158.2230	135.0268
100	3	163.5507	136.3590
101	104	72.9949	290.2163
102	104	85.0237	290.3458
103	104	101.5148	290.4460
104	104	81.2488	274.6089
105	104	75.4114	262.0947
106	104	75.0353	247.0820
107	104	98.7301	257.8425
108	104	110.5505	254.6271
109	104	39.2438	273.8307
110	104	45.9405	248.6620
111	104	43.6993	236.8556
112	104	90.4707	194.2455
113	104	84.6144	187.8947
114	104	104.8598	138.8307
115	104	109.3418	143.8964
116	104	123.1961	123.6640
117	104	116.7674	119.2436
118	104	143.4434	120.9893
119	104	141.9411	127.5357
120	104	151.9985	135.7950
121	104	164.6671	141.5271
122	104	153.7843	159.6454
123	104	191.1543	230.1560
124	104	230.0722	216.2270
125	104	245.7816	267.5715
126	104	264.8225	265.8505
127	104	257.5130	267.8828
128	104	274.2946	231.0130
129	104	279.8148	219.5841
130	104	275.6134	212.2720
131	104	253.5993	189.6038
132	104	207.3873	201.3517
133	104	190.4215	175.6794
134	104	233.2349	176.3634
135	104	284.6054	182.3349
136	104	277.2937	147.0925
137	104	267.4808	78.5355
138	104	273.5003	62.0820
139	104	283.1482	69.0642
140	104	277.5012	40.9994
141	104	284.4557	45.7244
142	104	244.0028	74.2738
143	104	222.8452	69.5048
144	104	194.2036	41.3806
145	104	185.8289	53.9017
146	104	172.8428	83.3450
147	104	165.3596	82.5714
148	104	130.1774	56.3447
149	104	107.1102	48.1788
150	104	138.2511	93.8063
151	104	149.0248	119.7447
152	104	68.5354	65.6572
153	104	82.5837	48.0245
154	104	193.7336	86.6143
155	104	226.8086	129.0374
156	104	249.3189	105.5585
157	104	233.4608	88.8170
158	104	256.7361	132.2708
159	104	230.7999	142.6983
160	104	214.1362	151.2695
161	106	93.3227	145.5422
162	106	97.8272	156.7057
163	106	78.9818	172.7011
164	106	76.7498	181.1284
165	106	71.7536	190.9592
166	106	59.7168	193.7834
167	106	48.3270	188.1494
168	106	40.5088	186.5238
169	106	29.9854	191.4039
170	106	29.7710	203.6932
171	106	30.8916	211.2403
172	106	29.8635	232.9953
173	106	30.8934	236.1558
174	106	32.7188	244.1145
175	106	35.5904	258.4630
176	106	48.6268	259.8206
177	106	56.7761	255.2474
178	106	133.2868	214.1325
179	106	154.7147	180.3919
180	106	155.0871	246.0681
181	108	127.0221	68.8627
182	108	116.1937	89.5808
183	108	144.2021	54.1258
184	108	170.2594	68.1330
185	108	278.5707	50.8953
186	108	270.0549	65.3112
187	108	277.7954	142.7593
188	108	280.6916	202.2883
189	108	252.5224	198.9267
190	108	247.2423	279.5571
191	108	210.9815	261.0682
192	108	229.8746	251.5876
193	108	226.0093	225.3717
194	108	198.2854	226.5610
195	108	102.6423	267.5419
196	108	83.0737	267.2629
197	108	112.6604	258.2191
198	108	112.2381	226.8477
199	108	124.2870	202.8283
200	108	91.6170	125.7865
201	203	96.6178	158.9787
202	203	97.8874	155.0784
203	203	73.8144	186.5412
204	203	154.2829	178.0741
205	203	140.5780	216.5630
