INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	96	47.9490	47.8610
2	96	35.3008	50.0817
3	96	48.1396	32.6954
4	96	62.9027	31.4820
5	96	61.1472	45.8096
6	96	51.8142	56.6576
7	96	33.4585	72.1590
8	96	32.3267	87.8877
9	96	55.2511	81.6584
10	96	81.7063	53.6714
11	97	156.4230	51.5564
12	97	158.6041	39.3411
13	97	133.5260	39.7657
14	97	138.4410	51.5118
15	97	128.8935	63.0013
16	97	118.7086	76.3834
17	97	117.1981	54.8050
18	97	112.7728	77.4414
19	97	111.4807	61.8031
20	97	147.5071	51.5557
21	98	142.3210	98.5030
22	98	144.1950	86.5805
23	98	134.1446	106.9746
24	98	123.1720	99.9205
25	98	121.6680	85.8115
26	98	139.5394	113.8079
27	98	112.8965	118.6167
28	98	130.0093	139.0894
29	98	158.3907	140.5443
30	98	159.5773	133.9765
31	99	54.8148	127.7883
32	99	56.2971	94.5074
33	99	70.6317	115.2655
34	99	75.0699	100.8064
35	99	33.8108	101.7493
36	99	51.5529	139.3566
37	99	36.9953	120.9786
38	99	77.1502	120.6322
39	99	59.1928	154.8580
40	99	82.3215	83.0319
