INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	1	260.4846	40.6078
2	1	278.8212	42.4621
3	1	277.9216	66.6404
4	1	277.649	95.518
5	1	278.3237	103.5692
6	1	254.2756	52.3801
7	1	252.5595	66.2846
8	1	241.3802	60.4889
9	1	240.6561	53.6654
10	1	217.2723	61.4004
11	1	192.3416	55.5779
12	1	185.6748	43.4911
13	1	178.9785	42.0377
14	1	180.9984	51.625
15	1	198.8728	76.0237
16	1	172.1324	42.8062
17	1	153.7501	42.8651
18	1	166.7617	70.3781
19	1	158.7685	80.1779
20	1	155.1847	86.1424
21	1	159.8998	71.6505
22	1	148.4725	88.934
23	1	138.3479	90.7151
24	1	129.6036	97.2932
25	1	123.9197	92.1905
26	1	140.7762	46.1521
27	1	126.2379	53.0096
28	1	105.1252	44.9778
29	1	99.9121	60.4027
30	1	59.6843	41.5408
31	1	68.2008	43.7079
32	1	79.2787	44.7835
33	1	63.7903	47.9168
34	1	52.3044	62.2412
35	1	66.5795	79.391
36	1	81.9805	72.0257
37	1	86.6957	64.5479
38	1	44.0809	79.7874
39	1	53.0007	79.7063
40	1	43.657	97.8144
41	1	49.5702	88.5567
42	1	57.8012	102.6864
43	1	45.7795	110.0234
44	1	75.8426	111.2145
45	1	88.3198	101.4458
46	1	99.7637	124.3245
47	1	63.9563	140.948
48	1	62.7845	150.4593
49	1	69.3248	160.9069
50	1	77.4062	154.773
51	1	82.1298	164.6956
52	1	97.3604	165.0078
53	1	48.831	186.1575
54	1	55.1534	187.0847
55	1	45.5835	204.4726
56	1	65.9306	198.9875
57	1	46.2436	225.7758
58	1	44.2435	247.7327
59	1	45.4785	269.1499
60	1	62.748	276.9847
61	1	58.7362	269.7033
62	1	68.9676	268.1841
63	1	82.7247	274.3274
64	1	84.6247	265.9901
65	1	116.8173	210.5797
66	1	125.5412	192.4926
67	1	133.3788	193.3273
68	1	139.6735	203.2114
69	1	154.724	174.6829
70	1	161.2672	180.0439
71	1	177.1829	177.7922
72	1	193.9734	185.3356
73	1	197.6108	177.2934
74	1	197.9614	242.121
75	1	140.7868	275.1599
76	1	158.5217	276.638
77	1	165.5317	275.4238
78	1	161.0181	263.9615
79	1	153.9083	255.4854
80	1	142.3515	253.7989
81	1	230.0565	253.8972
82	1	241.1042	258.0751
83	1	226.9935	222.0881
84	1	246.6493	239.4391
85	1	255.9681	228.492
86	1	252.5073	247.4163
87	1	277.6865	245.5879
88	1	274.8124	271.8364
89	1	265.3518	273.5914
90	1	161.4246	196.2432
91	1	142.4395	180.29
92	1	148.9431	178.0908
93	1	101.6205	220.0394
94	1	92.2777	196.5449
95	1	92.4493	218.0385
96	1	89.4654	236.1402
97	1	97.9917	237.1085
98	1	97.3406	211.4079
99	1	96.5725	221.8833
100	1	86.9588	231.0477
101	2	132	132
102	2	134	134
103	2	134	132
104	101	276.4905	43.1817
105	101	264.8286	42.4369
106	101	256.2755	46.2268
107	101	277.1245	61.1421
108	101	255.8791	55.8612
109	101	253.783	71.7301
110	101	233.4153	96.6903
111	101	226.9004	82.0166
112	101	221.7469	109.7465
113	101	204.9287	109.6811
114	101	182.8743	99.5484
115	101	181.4717	125.6276
116	101	183.1036	142.3688
117	101	194.6887	176.877
118	101	198.6938	183.7791
119	101	186.6438	190.7797
120	101	194.1956	215.474
121	101	229.1726	218.3836
122	101	252.697	241.5889
123	101	227.6273	244.372
124	101	236.5877	256.8761
125	101	272.0195	269.482
126	101	220.2731	273.8837
127	101	187.1933	225.9785
128	101	145.131	200.0505
