INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	7	182.9602	266.9626
2	7	201.1545	260.1851
3	7	216.9821	248.4364
4	7	221.4091	239.7070
5	7	226.5793	251.7733
6	7	230.3914	247.5004
7	7	231.5822	250.2067
8	7	276.7672	231.9078
9	7	268.5636	230.4694
10	7	286.3318	227.1949
11	7	264.2784	190.7134
12	7	243.2166	192.7731
13	7	265.4040	168.3138
14	7	226.6907	129.4512
15	7	270.7396	133.9972
16	7	274.5406	132.4150
17	7	272.3274	136.8426
18	7	279.4679	124.7947
19	7	286.7960	112.7608
20	7	266.9494	61.1396
21	7	257.1201	78.2429
22	7	250.5129	79.5826
23	7	233.3934	120.4716
24	7	231.2284	101.5673
25	7	242.9640	106.9520
26	7	238.8378	144.3211
27	7	202.6053	167.5203
28	7	202.9305	164.9761
29	7	202.8384	171.1545
30	7	171.9194	131.3947
31	7	168.9088	141.2551
32	7	165.7661	153.6071
33	7	166.1080	157.5880
34	7	169.4008	105.4349
35	7	189.7700	97.3493
36	7	188.9291	100.6358
37	7	187.9891	103.7373
38	7	180.5872	81.2773
39	7	217.5153	85.5554
40	7	216.9215	92.5181
41	7	262.9042	45.0805
42	7	257.5046	48.7177
43	7	119.2288	35.1197
44	7	126.6393	72.7041
45	7	87.1317	75.4803
46	7	82.9607	74.1708
47	7	55.4880	53.1170
48	7	37.6531	81.3833
49	7	46.4019	103.6304
50	7	49.0436	104.3172
51	7	54.8121	112.4245
52	7	80.2680	132.1705
53	7	82.9657	136.0029
54	7	88.3011	138.8787
55	7	102.1602	135.8492
56	7	101.4047	139.6910
57	7	88.8456	168.6920
58	7	94.0709	167.3882
59	7	98.4978	162.2191
60	7	57.2399	185.2217
61	7	60.7079	210.4307
62	7	59.2876	204.0030
63	7	108.9385	268.7046
64	7	97.3348	283.5709
65	7	117.1036	270.1017
66	7	125.3600	213.3724
67	7	120.9541	207.5513
68	7	121.7357	199.8452
69	7	118.6948	197.4421
70	7	180.7961	254.5402
71	7	177.8233	238.3645
72	7	182.7709	237.5654
73	7	194.9152	212.5358
74	7	192.9566	216.9105
75	7	190.4235	222.4026
76	7	125.5305	136.8581
77	7	134.9926	163.2071
78	7	151.5256	182.4403
79	7	100.4875	75.5994
80	7	113.6267	96.9268
81	7	137.2237	77.9879
82	7	159.7218	36.1213
83	7	175.2699	33.8816
84	7	172.1495	35.4367
85	7	165.5105	56.1736
86	7	165.5959	66.6933
87	7	152.0787	109.2632
88	7	151.9567	189.6634
89	7	142.3536	247.6034
90	7	143.1359	241.8366
91	7	145.0480	237.5597
92	7	144.2988	258.5556
93	7	142.6906	264.4293
94	7	104.5483	259.4344
95	7	107.3548	255.9464
96	7	113.1852	225.4168
97	7	182.2047	144.3415
98	7	184.7991	173.7861
99	7	192.8287	192.8157
100	7	206.6775	200.5737
101	112	191.6756	209.0725
102	112	181.9450	267.3656
103	112	184.4034	266.6521
104	112	244.3044	276.4655
105	112	270.8119	232.6741
106	112	252.8510	251.0593
107	112	252.0141	251.5256
108	112	248.7900	212.2074
109	112	246.5602	212.5419
110	112	243.8323	212.6626
