INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	4	78.3292	45.1312
2	4	87.3666	48.9877
3	4	77.2625	52.4100
4	4	101.1039	70.7609
5	4	62.6931	78.0391
6	4	58.3767	91.7819
7	4	76.8997	93.9885
8	4	93.7324	95.8392
9	4	114.3598	112.9966
10	4	116.2485	122.3162
11	4	106.8439	122.3408
12	4	58.0323	176.5394
13	4	50.2508	199.0717
14	4	71.0344	195.6207
15	4	77.0956	187.8733
16	4	194.4921	175.3037
17	4	207.6342	158.8939
18	4	173.7664	106.9596
19	4	198.5433	104.6193
20	4	214.0011	75.2680
21	4	234.4058	82.5752
22	4	140.5761	110.2563
23	4	118.7214	125.7432
24	4	169.2747	141.9550
25	4	236.5811	130.8942
26	4	240.7273	113.1304
27	4	240.8613	134.2328
28	4	195.8010	161.9069
29	4	173.9214	149.6619
30	4	166.7815	145.5798
31	4	198.4826	176.6055
32	4	203.0293	190.1469
33	4	180.7805	206.0733
34	4	167.9047	191.5715
35	4	170.0525	202.6658
36	4	178.4110	200.7133
37	4	195.7042	211.0635
38	4	241.8423	253.6378
39	4	227.0157	256.6681
40	4	261.1583	260.5649
41	4	231.6952	266.3654
42	4	110.9762	264.1912
43	4	110.0117	258.3465
44	4	99.2500	263.7179
45	4	94.5857	256.1812
46	4	78.0392	253.6127
47	4	75.8107	241.7524
48	4	67.2723	268.5967
49	4	51.2709	270.7721
50	4	47.0413	255.0214
51	4	80.1457	217.6266
52	4	79.1217	212.4687
53	4	90.9752	206.5670
54	4	114.0023	232.5573
55	4	113.5330	194.7308
56	4	111.2901	178.7597
57	4	187.6216	175.1646
58	4	195.2303	170.7846
59	4	202.8828	161.9832
60	4	216.2631	127.7161
61	4	232.2482	84.6703
62	4	223.6337	79.8502
63	4	146.0659	114.6581
64	4	165.4886	110.6217
65	4	170.6968	110.7339
66	4	115.6962	116.0424
67	4	108.1346	85.4454
68	4	81.2638	84.3297
69	4	69.2900	85.1011
70	4	61.2658	91.1653
71	4	49.9600	93.1056
72	4	85.1187	141.3274
73	4	56.8386	142.3315
74	4	94.7043	153.8847
75	4	83.1287	245.6293
76	4	71.0387	260.1274
77	4	72.6653	250.0839
78	4	72.4210	238.8486
79	4	68.6397	230.5293
80	4	128.3186	253.5905
81	4	125.1474	246.4562
82	4	77.0755	197.7963
83	4	66.1905	187.2872
84	4	64.1754	174.1542
85	4	151.9558	168.2036
86	4	164.9233	168.7332
87	4	174.7569	143.4123
88	4	114.2578	87.5764
89	4	97.8057	81.0183
90	4	218.8449	132.7090
91	4	195.2921	134.9524
92	4	227.2231	118.1133
93	4	224.8259	112.8421
94	4	219.4013	81.6061
95	4	213.9912	79.2411
96	4	218.2795	74.2347
97	4	205.5822	72.5347
98	4	205.4212	199.6245
99	4	204.0567	186.4488
100	4	204.6891	178.6172
101	106	80.5828	53.0148
102	106	78.8920	60.2818
103	106	63.8553	81.3147
104	106	81.7838	87.9409
105	106	71.6574	87.7041
106	106	87.3453	92.0109
107	106	105.0923	82.3853
108	106	98.0306	73.4354
109	106	115.9951	87.7691
110	106	119.4597	120.0512
111	106	118.0337	128.9362
112	106	143.1305	134.0917
113	106	127.9073	143.2835
114	106	168.6971	144.5428
115	106	173.0960	152.7437
116	106	194.0151	135.0350
117	106	193.5515	128.9584
118	106	181.3500	106.4137
119	106	169.2876	108.2915
120	106	199.0805	104.2095
121	106	199.4663	89.3193
122	106	216.3609	83.6859
123	106	217.9761	74.8174
124	106	230.3888	81.4636
125	106	233.4004	90.5290
126	106	240.3612	121.1958
127	106	238.1707	125.9543
128	106	231.1612	134.5300
129	106	219.8266	129.8474
130	106	163.9868	151.7076
131	106	167.7990	170.1638
132	106	194.7326	172.6444
133	106	203.4393	166.7317
134	106	193.5567	166.0792
135	106	204.9965	187.3959
136	106	198.4560	177.4010
137	106	206.8648	204.6728
138	106	174.6814	206.2737
139	106	170.7058	196.5359
140	106	190.1539	223.8457
141	106	238.6838	250.6527
142	106	246.0356	255.3398
143	106	262.9660	266.3496
144	106	227.5477	261.4285
145	106	153.2890	239.9729
146	106	147.7769	235.3667
147	106	140.0860	220.3482
148	106	138.4031	205.4312
149	106	119.3791	200.6769
150	106	101.4237	216.5863
151	106	116.2599	215.3028
152	106	105.5322	228.3884
153	106	120.9913	230.9003
154	106	123.7784	269.3486
155	106	91.1409	262.8070
156	106	92.0825	253.4438
157	106	73.7984	250.8321
158	106	67.4971	259.1710
159	106	72.5404	198.5652
160	106	61.2416	179.4478
161	107	69.6920	181.1554
162	107	55.8877	175.0867
163	107	47.7172	196.7980
164	107	68.2359	201.0057
165	107	72.8613	190.6644
166	107	47.6789	237.7167
167	107	43.7103	238.1840
168	107	45.1249	264.2940
169	107	55.3701	272.4114
170	107	70.8389	274.8964
171	107	147.8220	242.6085
172	107	146.4985	229.1260
173	107	99.5890	222.4510
174	107	94.4382	222.3447
175	107	108.9420	180.4877
176	107	115.9198	189.4842
177	107	149.4737	169.4267
178	107	168.5999	202.1021
179	107	201.7480	178.4037
180	107	195.8168	166.8554
181	111	230.6225	131.1120
182	111	242.2300	130.9082
183	111	249.9792	119.3433
184	111	241.9056	114.7196
185	111	233.9536	84.9456
186	111	227.6035	79.1085
187	111	219.9399	76.7850
188	111	207.0779	73.3700
189	111	197.3301	105.9889
190	111	183.4202	102.7514
191	111	117.6510	124.6965
192	111	119.1568	117.6965
193	111	122.2673	95.4467
194	111	111.5410	88.4303
195	111	101.9909	79.2499
196	111	99.0092	72.9016
197	111	86.6007	62.1874
198	111	82.4893	54.3583
199	111	62.4951	86.2036
200	111	74.0350	86.9516
201	204	133.3547	96.8980
202	204	254.5117	134.2170
