INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	5	89.6427	104.1454
2	5	67.2337	71.5776
3	5	82.6632	110.4572
4	5	78.2453	110.0226
5	5	63.7124	159.0288
6	5	69.2552	163.6793
7	5	75.0728	168.5388
8	5	69.3118	210.5348
9	5	73.9815	219.4130
10	5	83.0688	223.0275
11	5	59.1711	240.7920
12	5	103.1955	225.9999
13	5	110.6508	225.0689
14	5	108.0398	253.5090
15	5	122.0880	268.8435
16	5	122.8692	263.1599
17	5	124.0576	268.1934
18	5	118.9616	266.1974
19	5	120.6702	268.8615
20	5	140.0103	227.8698
21	5	134.9080	226.3029
22	5	138.7742	222.7663
23	5	144.4152	224.7340
24	5	145.0181	221.5676
25	5	144.1385	218.9627
26	5	142.9073	217.9312
27	5	143.7545	212.0210
28	5	142.6733	209.4145
29	5	143.1261	215.7789
30	5	247.0145	97.1212
31	5	241.6962	105.7102
32	5	216.2905	105.1721
33	5	216.1899	106.5360
34	5	216.1756	107.8630
35	5	218.2041	110.0146
36	5	219.8816	110.1579
37	5	221.5995	110.3194
38	5	216.3316	101.6999
39	5	217.8699	99.1216
40	5	218.9394	96.8519
41	5	220.6030	94.3840
42	5	184.0921	60.5552
43	5	183.2805	61.3431
44	5	180.2977	61.7757
45	5	177.6819	61.3714
46	5	175.5136	60.3987
47	5	172.6374	59.5008
48	5	149.6087	59.9127
49	5	147.0783	60.8730
50	5	142.3916	60.5193
51	5	137.5900	60.2907
52	5	133.6246	58.6913
53	5	130.3017	56.0537
54	5	127.9380	55.4979
55	5	61.7927	148.2037
56	5	93.8591	211.3090
57	5	93.6293	212.9529
58	5	259.1212	182.7862
59	5	230.3952	171.4152
60	5	237.4958	175.7078
61	5	115.5354	103.4090
62	5	111.4528	130.8383
63	5	114.9396	147.2884
64	5	138.8205	191.6099
65	5	147.4930	189.4665
66	5	206.8717	188.3917
67	5	211.4968	179.1800
68	5	221.8973	140.1918
69	5	212.3096	134.5518
70	5	203.4764	137.6349
71	5	249.1983	139.2125
72	5	247.9057	134.7566
73	5	243.7302	132.0415
74	5	212.8878	155.3333
75	5	203.8831	179.2554
76	6	64.8354	111.2467
77	6	74.4477	111.4570
78	6	84.5502	92.3566
79	6	75.4101	161.2214
80	6	115.7945	214.3046
81	6	122.5249	210.5963
82	6	119.2332	211.7698
83	6	206.6313	177.8008
84	6	241.7539	132.1135
85	6	238.8896	131.4479
86	6	210.7983	76.3889
87	6	229.7968	100.3753
88	6	228.3565	101.4741
89	6	271.3428	89.9172
90	6	267.5122	103.2684
91	6	158.9887	221.4799
92	6	168.3673	216.6104
93	6	163.5704	191.6069
94	6	158.1858	198.2331
95	6	150.1567	192.0725
96	6	156.3042	193.6418
97	6	148.2344	204.4924
98	6	145.5818	195.7169
99	6	133.4933	225.0385
100	6	131.1949	223.5936
101	109	242.8606	61.4643
102	109	249.6577	61.5821
103	109	111.6984	64.5956
104	109	110.5076	67.1620
105	109	99.3469	60.0074
106	109	98.8817	66.1478
107	109	86.5763	49.6312
108	109	82.4826	70.2921
109	109	82.1538	74.4733
110	109	79.9917	79.4839
111	109	76.1918	80.8265
112	109	66.4650	70.3073
113	109	64.2648	68.6421
114	109	67.8867	73.2741
115	109	59.3005	69.0814
116	109	58.3873	70.3911
117	109	66.9308	121.9039
118	109	67.6572	124.0647
119	109	68.7369	127.6757
120	109	54.3461	135.2016
121	109	53.6166	138.5485
122	109	57.6502	138.9283
123	109	50.1576	153.7363
124	109	50.1655	154.9605
125	109	49.9867	162.0746
126	109	50.1453	163.2247
127	109	51.0489	166.0967
128	109	51.4738	169.4491
129	109	58.1225	188.8427
130	109	68.9589	200.8152
131	109	105.0812	186.0748
132	109	142.7233	262.5630
133	109	143.8677	261.8226
134	109	146.3737	260.9930
135	109	150.4041	261.0746
136	109	157.6630	262.6876
137	109	172.5844	255.1368
138	109	170.5872	256.4773
139	109	174.1188	250.7365
140	109	182.2027	225.4292
141	109	184.7788	220.2673
142	109	255.3391	124.8161
143	109	252.4017	124.8382
144	109	256.2639	113.0060
145	109	262.5913	98.2167
146	109	259.8989	97.8151
147	109	252.3223	99.3586
148	109	248.6197	108.7787
149	109	236.7482	119.0102
150	109	224.8371	123.5339
151	109	211.1096	101.6643
152	109	208.1488	103.8362
153	109	170.3088	122.2025
154	109	212.4803	80.3060
155	109	104.9715	52.4181
156	109	103.7736	52.7127
157	109	165.7526	85.7418
158	109	180.4604	84.1414
159	109	190.0512	139.7612
160	109	172.2920	117.6734
161	110	269.9241	94.3983
162	110	261.6230	107.1853
163	110	249.9291	99.5324
164	110	245.8505	89.7627
165	110	231.9032	81.0397
166	110	220.9839	71.8405
167	110	114.6718	66.9848
168	110	115.4949	64.0244
169	110	96.7334	61.7008
170	110	67.7830	122.7903
171	110	144.1427	167.3620
172	110	181.3534	191.3297
173	110	183.3216	205.7733
174	110	195.7419	194.6663
175	110	238.2810	183.4452
176	110	263.4212	161.3858
177	110	260.1733	136.2013
178	110	258.3072	125.8622
179	110	228.3485	98.8529
180	110	186.6732	135.1217
181	114	241.9238	81.4458
182	114	258.9988	63.5609
183	114	234.6657	61.7422
184	114	59.0072	71.0298
185	114	67.3221	139.8650
186	114	139.2584	266.1277
187	114	143.2097	264.6678
188	114	182.7658	223.3152
189	114	164.3786	218.3985
190	114	173.0630	205.7048
191	114	242.4450	240.3883
192	114	255.6264	158.0850
193	114	235.3365	79.5423
194	114	200.2567	116.6220
195	114	162.6680	138.1041
196	114	136.2100	144.5544
197	114	106.3795	142.6643
198	114	84.1184	131.2044
199	114	87.2200	201.4702
200	114	103.3390	188.6715
201	205	56.8948	109.2805
202	206	57.1373	108.6970
