INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	5	41.7085	259.3756
2	5	45.2070	276.1371
3	5	68.0337	271.3275
4	5	102.0356	263.3393
5	5	97.9563	268.3254
6	5	173.4810	267.1307
7	5	182.3943	278.8924
8	5	203.0283	278.0311
9	5	219.1937	266.1058
10	5	222.1933	259.3380
11	5	220.9522	254.6258
12	5	198.4014	250.3627
13	5	210.6823	222.0934
14	5	214.2130	218.1261
15	5	229.0814	228.7014
16	5	268.9831	240.9526
17	5	245.7883	241.8738
18	5	252.3296	245.2926
19	5	256.2406	238.8328
20	5	199.1663	178.6252
21	5	208.0901	187.3970
22	5	200.4556	157.7973
23	5	45.2174	86.7594
24	5	44.9464	93.1744
25	5	48.5877	107.9544
26	5	42.4730	115.3019
27	5	39.2414	130.9633
28	5	37.1687	138.9421
29	5	47.3507	142.2335
30	5	50.8474	167.0552
31	5	54.0863	158.2945
32	5	70.3754	171.1017
33	5	72.4504	169.2912
34	5	75.0570	172.9949
35	5	70.9555	174.0123
36	5	75.5205	169.0187
37	5	99.8208	158.1829
38	5	105.9902	169.7511
39	5	107.0027	171.6466
40	5	107.2144	172.7618
41	5	107.8398	174.2338
42	5	107.4177	190.5038
43	5	106.2337	191.5779
44	5	143.3213	109.3634
45	5	146.6135	112.3448
46	5	151.1098	121.9825
47	5	136.1748	108.1816
48	5	131.4152	113.1675
49	5	130.6910	116.6781
50	5	136.7732	114.4813
51	5	134.6858	116.4114
52	5	132.9759	118.3108
53	5	141.5304	116.0714
54	5	123.1776	146.2993
55	5	133.9598	147.5900
56	5	136.1234	149.3874
57	5	146.3310	198.0370
58	5	212.2951	222.7438
59	5	209.3939	221.9076
60	5	208.4849	219.7943
61	5	223.6466	221.0756
62	5	224.0757	222.6715
63	5	222.4130	223.4241
64	5	221.6221	216.1104
65	5	222.1257	211.1823
66	5	223.2169	206.6117
67	5	217.0090	185.0980
68	5	211.5445	188.7653
69	5	209.6151	188.3709
70	5	211.9821	178.8915
71	5	211.1981	177.7796
72	5	208.7636	176.2609
73	5	206.0464	174.9511
74	5	204.6871	173.9402
75	5	202.3698	172.9423
76	5	201.2821	172.8392
77	5	200.1014	173.0720
78	5	198.4012	173.3005
79	5	197.4590	174.5214
80	5	82.9855	236.0963
