INT	INT	FLOAT	FLOAT
INT	INT	FLOAT	FLOAT
1	9	59.1415	75.1907
2	9	67.6480	42.7189
3	9	62.0200	47.2786
4	9	92.5695	37.9164
5	9	95.5629	54.7738
6	9	99.0618	59.8036
7	9	103.5237	53.2462
8	9	119.8856	44.0357
9	9	116.4597	36.1666
10	9	141.1198	35.5296
11	9	133.5472	41.9543
12	9	144.9015	50.3705
13	9	145.1472	71.0540
14	9	121.9555	107.9974
15	9	115.4526	122.3602
16	9	129.5132	133.7517
17	9	157.5370	123.0626
18	9	187.8557	119.0543
19	9	196.3580	122.2657
20	9	202.4843	114.5404
21	9	206.6657	134.9717
22	9	201.3436	141.1392
23	9	207.3302	142.6345
24	9	230.7440	160.7999
25	9	230.6460	197.4385
26	9	235.8300	211.4432
27	9	240.7109	228.9650
28	9	277.1975	240.5865
29	9	262.9039	246.1193
30	9	281.1998	207.2832
31	9	283.6271	195.0704
32	9	240.7729	161.3560
33	9	251.8386	151.4782
34	9	236.2698	130.9668
35	9	208.0669	182.0781
36	9	178.3629	197.4557
37	9	170.4730	214.6125
38	9	163.6852	203.9375
39	9	145.8128	191.3518
40	9	116.5010	193.7713
41	9	95.6442	185.7590
42	9	95.2524	180.0470
43	9	105.6485	172.2363
44	9	90.4929	226.7690
45	9	73.3047	247.3925
46	9	92.5163	277.7462
47	9	53.4053	265.3220
48	9	37.2645	258.2099
49	9	62.7313	250.2330
50	9	51.0353	233.5889
51	9	66.9180	187.1312
52	9	136.2696	259.7810
53	9	181.0842	279.5890
54	9	184.6856	248.1033
55	9	191.6760	251.1734
56	9	239.0353	257.2178
57	9	248.6379	264.8610
58	9	273.9545	277.1635
59	9	261.5309	281.0467
60	9	275.6889	261.0163
61	9	145.4724	219.3414
62	9	168.0053	221.7800
63	9	186.3248	169.2266
64	9	182.6327	167.9546
65	9	190.7829	146.3628
66	9	235.7218	60.6081
67	9	243.3743	73.2337
68	9	269.3618	85.7895
69	9	185.0617	63.6279
70	9	207.3502	40.1924
71	9	190.8318	44.7553
72	9	243.4459	105.9489
73	9	253.2052	70.2987
74	9	247.7299	46.6917
75	9	270.1359	55.8516
76	10	223.7543	68.2333
77	10	224.1905	103.6373
78	10	190.1740	195.0754
79	10	137.0609	241.1382
80	10	234.1155	281.4360
81	10	280.4863	270.1415
82	10	171.1826	221.0598
83	10	108.4933	207.9108
84	10	104.2923	273.4082
85	10	37.7260	182.4068
86	10	43.5549	150.0001
87	10	36.8178	128.2191
88	10	40.4070	99.3335
89	10	60.0866	99.7296
90	10	34.8151	62.2051
91	10	96.0949	56.1915
92	10	148.3113	54.7353
93	10	197.6496	55.3582
94	10	233.0667	179.1025
95	10	224.4933	204.4082
96	118	213.1915	44.8212
97	118	200.8915	39.0470
98	118	183.4439	39.6847
99	118	183.8216	59.0156
100	118	93.4244	55.6550
101	118	49.5220	69.3171
102	118	82.0890	86.9846
103	118	226.0427	125.6180
