INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
级别	少林力量	少林灵气	少林体质	少林定力	少林身法	明教力量	明教灵气	明教体质	明教定力	明教身法	丐帮力量	丐帮灵气	丐帮体质	丐帮定力	丐帮身法	武当力量	武当灵气	武当体质	武当定力	武当身法	峨嵋力量	峨嵋灵气	峨嵋体质	峨嵋定力	峨嵋身法	星宿力量	星宿灵气	星宿体质	星宿定力	星宿身法	大理力量	大理灵气	大理体质	大理定力	大理身法	天山力量	天山灵气	天山体质	天山定力	天山身法	逍遥力量	逍遥灵气	逍遥体质	逍遥定力	逍遥身法	无门派力量	无门派灵气	无门派体质	无门派定力	无门派身法
0	7	2	8	1	2	9	1	6	1	3	8	2	6	1	3	1	9	4	4	2	2	6	5	5	2	2	8	5	4	1	5	4	5	2	4	8	2	5	2	3	3	6	4	3	4	5	5	4	3	3
1	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
2	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
3	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
4	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
5	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
6	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
7	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
8	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
9	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
10	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
11	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
12	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
13	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
14	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
15	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
16	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
17	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
18	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
19	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
20	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
21	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
22	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
23	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
24	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
25	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
26	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
27	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
28	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
29	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
30	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
31	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
32	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
33	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
34	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
35	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
36	2	1	2	0	0	3	0	2	0	0	2	0	2	0	1	0	2	1	1	1	0	2	2	1	0	0	2	2	1	0	2	1	1	0	1	2	1	1	0	1	1	1	2	0	1	2	1	1	0	1
37	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
38	2	1	2	0	0	2	0	2	0	1	2	0	2	0	1	0	2	1	1	1	0	2	1	1	1	0	2	1	1	1	1	1	1	0	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
39	1	0	2	1	1	2	0	1	1	1	2	1	1	0	1	0	3	1	1	0	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	0	2	0	1	0	2	1	1	1	1	1	1	1	1
40	2	1	2	0	0	2	0	2	0	1	2	0	2	1	0	1	2	1	1	0	0	2	1	2	0	0	2	1	1	1	1	1	2	0	1	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0
