INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID(怪物编号)	Mvalue(怪物价值)	怪物掉落类型	DID1(掉落包编号)	DID2	DID3	DID4	DID5	DID6	DID7	DID8	DID9	DID10	DID11	DID12	DID13	DID14	DID15	DID16	DID17	DID18	DID19	DID20
800	4	0	0	12	24	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
801	4	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
802	5	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
803	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
804	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
805	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
806	8	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
807	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
808	10	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
809	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
810	13	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
811	22	1	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
812	26	1	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
813	26	1	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
814	32	1	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
815	32	1	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
816	41	1	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
817	41	1	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
818	52	1	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
819	66	1	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
820	5	0	0	12	24	36	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
821	5	0	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
822	6	0	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
823	6	0	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
824	8	0	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
825	8	0	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
826	10	0	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
827	10	0	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
828	13	0	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
829	22	1	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
830	26	1	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
831	26	1	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
832	32	1	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
833	32	1	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
834	41	1	3	15	26	31	42	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
835	41	1	4	16	27	32	43	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
836	52	1	4	16	27	32	44	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
837	66	1	5	17	27	32	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
838	22	1	1	13	25	30	37	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
839	26	1	1	13	25	30	38	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
840	26	1	2	14	25	30	39	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
841	32	1	2	14	25	30	40	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
842	32	1	3	15	26	31	41	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
