INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
Data_Index	效果名称	逻辑ID	逻辑ID的说明	是否是持续性效果	瞬发效果ID/驻留效果ID	分类ID(互斥用)	互斥优先级	影响性质	死后是否保留	是否可以被技能驱散	是否可以被手动取消	是否需要引导支持	是否是直通效果	受到伤害时是否消失	开始动作时是否消失	下线就消失否	下线仍然计时否	总持续时间(毫秒)	发作时间间隔(毫秒)	互斥规则是否参考制造者ID	预留2	预留3	预留4	预留5	参数1说明	参数值	参数2说明	参数值	参数3说明	参数值	参数4说明	参数值	参数5说明	参数值	参数6说明	参数值	参数7说明	参数值	参数8说明	参数值	参数9说明	参数值	参数10说明	参数值	参数11说明	参数值	参数12说明	参数值	参数13说明	参数值	参数14说明	参数值	参数15说明	参数值	参数16说明	参数值	效果描述(内部使用)
0	普通攻击的伤害效果, 这一行永远不能删除或者改变.这是缺省效果.	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	0	魔法伤害	0	冰系伤害	0	火系伤害	0	电系伤害	0	毒系伤害	0																					
1	测试用治疗效果	4	StdImpact004	0	10	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HP修改量	10	MP修改量	0	Rage修改量	0	StrikePoint修改量	0																									
2	测试用HOT	10	StdImpact010	1	18	50	1	1	0	1	1	0	0	0	0	1	0	30000	3000	0	0	0	0	0	子效果1的DataIndex	1	子效果2的DataIndex	-1	子效果3的DataIndex	-1	子效果4的DataIndex	-1	子效果5的DataIndex	-1	子效果6的DataIndex	-1	子效果7的DataIndex	-1	子效果8的DataIndex	-1	子效果9的DataIndex	-1	子效果10的DataIndex	-1	子效果11的DataIndex	-1	子效果12的DataIndex	-1	子效果13的DataIndex	-1	子效果14的DataIndex	-1	子效果15的DataIndex	-1	子效果16的DataIndex	-1	
3	测试用SOT(MAXs)	11	StdImpact011	1	2	39	1	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	0	0	0	物理攻击修正	-10	物理防御修正	10	魔法攻击修正	-10	魔法防御修正	10	冰系攻击修正	-10	冰系抗性修正	10	火系攻击修正	-10	火系抗性修正	10	电系攻击修正	-10	电系抗性修正	10	毒系攻击修正	-10	毒系抗性修正	10	MAX_HP修正	10	MAX_MP修正	20	MAX_RAGE修正	5	MAX_STRIKE_POINT修正	3	
4	测试用SOT(HitMis...)	13	StdImpact013	1	62	86	1	1	0	1	1	0	0	0	0	0	0	60000	0	0	0	0	0	0	命中修正	10	闪避修正	20	会心修正	30																											
5	测试用SOT(FaintUnbreakable...)	14	StdImpact014	1	98	110	1	-1	0	1	1	0	0	1	0	0	0	60000	0	0	0	0	0	0	可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效	1	可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效	0	可否移动标记：0-无法移动，1-可以移动）, -1无效	0	无敌否标记：0-非无敌，1-无敌）,-1无效	1	移动速度修正%（0为无效）	0	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1															
6	测试用SOT(Stealth...)	14	StdImpact014	1	75	93	1	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效	-1	可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效	0	可否移动标记：0-无法移动，1-可以移动）, -1无效	-1	无敌否标记：0-非无敌，1-无敌）,-1无效	0	移动速度修正%（0为无效）	-50	隐身级别修正（0为无效）	10	反隐级别修正（0为无效）	0	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	-1															
7	测试用SOT(Transform...)	14	StdImpact014	1	32	52	1	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	可否使用任何技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效	-1	可否使用门派技能标记：0-无法使用相关技能，1-可以使用相关技能）,-1无效	0	可否移动标记：0-无法移动，1-可以移动）, -1无效	-1	无敌否标记：0-非无敌，1-无敌）,-1无效	0	移动速度修正%（0为无效）	100	隐身级别修正（0为无效）	0	反隐级别修正（0为无效）	20	变身ID(-1为无效)	-1	骑乘ID(-1为无效)	1															
8	分身	51	STD_IMPACT_051	1	149	149	10	0	0	1	1	0	0	0	0	1	0	-1	0	0	0	0	0	0																																	
